compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00001	1,2,3-benzenetriol sulfate (1)	NA	NA
CPD00002	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00003	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075
CPD00004	1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812
CPD00005	1,2-dioleoyl-GPC (18:1/18:1)*	NA	10350317
CPD00006	1,2-dioleoyl-GPE (18:1/18:1)	NA	9546757
CPD00007	1,2-dipalmitoyl-GPC (16:0/16:0)	NA	452110
CPD00008	1,3,7-trimethylurate	C16361	79437
CPD00009	1,3-dimethylurate	NA	70346
CPD00010	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00011	1,7-dimethylurate	C16356	91611
CPD00012	1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*	NA	NA
CPD00013	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
CPD00014	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
CPD00015	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	NA
CPD00016	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	NA
CPD00017	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	NA
CPD00018	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	NA
CPD00019	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	NA
CPD00020	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	NA
CPD00021	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967
CPD00022	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802
CPD00023	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
CPD00024	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058
CPD00025	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
CPD00026	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	NA
CPD00027	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
CPD00028	1-arachidonoyl-GPA (20:4)	NA	NA
CPD00029	1-arachidonoyl-GPC (20:4n6)*	C05208	NA
CPD00030	1-arachidonoyl-GPE (20:4n6)*	NA	42607465
CPD00031	1-arachidonoyl-GPI (20:4)*	NA	NA
CPD00032	1-arachidonylglycerol (20:4)	C13857	5282281
CPD00033	1-dihomo-linolenylglycerol (20:3)	NA	NA
CPD00034	1-docosahexaenoylglycerol (22:6)	NA	NA
CPD00035	1-hydroxy-2-naphthalenecarboxylate	C03203	6844
CPD00036	1-lignoceroyl-GPC (24:0)	NA	NA
