compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	S-1-pyrroline-5-carboxylate	1196	c04322
CPD00002	spermidine	1102	c00315
CPD00003	1-methylnicotinamide	10129985	c02918
CPD00004	12,13-DiHOME	10236635	c14829
CPD00005	5-hydroxyindoleacetate	1826	c05635
CPD00006	alpha-ketoglutarate	51	c00026
CPD00007	kynurenate	3845	c01717
CPD00008	3-hydroxyisobutyrate	87	c06001
CPD00009	3-hydroxy-3-methylglutarate	1662	c03761
CPD00010	homovanillate (HVA)	1738	c05582
CPD00011	3-phosphoglycerate	724	c00597
CPD00012	cholate	221493	c00695
CPD00013	4-hydroxyphenylacetate	127	c00642
CPD00014	5,6-dihydrothymine	93556	c00906
CPD00015	hypoxanthine	790	c00262
CPD00016	9,10-DiHOME	9966640	c14828
CPD00017	linoleate (18:2n6)	5280450	c01595
CPD00018	laurate (12:0)	3893	c02679
CPD00019	quinolinate	1066	c03722
CPD00020	N6,N6,N6-trimethyllysine	440120	c03793
CPD00021	N-acetylputrescine	122356	c02714
CPD00022	N-formylmethionine	439750	c03145
CPD00023	S-adenosylhomocysteine (SAH)	439155	c00021
CPD00024	adenosine 3',5'-cyclic monophosphate (cAMP)	6076	c00575
CPD00025	adenosine 5'-monophosphate (AMP)	6083	c00020
CPD00026	5-methylthioadenosine (MTA)	439176	c00170
CPD00027	arachidonate (20:4n6)	444899	c00219
CPD00028	arginine	232	c00062
CPD00029	aspartate	5960	c00049
CPD00030	2-hydroxyphenylacetate	11970	c05852
CPD00031	3-(4-hydroxyphenyl)lactate	9378	c03672
CPD00032	phenylpyruvate	997	c00166
CPD00033	beta-alanine	239	c00099
CPD00034	carnosine	439224	c00386
CPD00035	biliverdin	5353439	c00500
CPD00036	succinate	1110	c00042
CPD00037	3-hydroxybutyrate (BHBA)	441	c01089
CPD00038	cholesterol	11025495	c00187
CPD00039	choline phosphate	1014	c00588
CPD00040	corticosterone	5753	c02140
CPD00041	cortisone	222786	c00762
CPD00042	creatinine	588	c00791
CPD00043	cysteinylglycine	439498	c01419
CPD00044	cystine	67678	c00491
CPD00045	sphingosine	5353955	c00319
CPD00046	deoxycholate	222528	c04483
CPD00047	cystathionine	439258	c02291
CPD00048	sphinganine	3126	c00836
CPD00049	flavin adenine dinucleotide (FAD)	643975	c00016
CPD00050	fumarate	444972	c00122
CPD00051	gamma-glutamylglutamate	92865	c05282
CPD00052	gluconate	10690	c00257
CPD00053	glutarate (C5-DC)	743	c00489
CPD00054	glycine	750	c00037
CPD00055	glycocholate	10140	c01921
CPD00056	guanidinoacetate	763	c00581
CPD00057	histidine	6274	c00135
CPD00058	cortisol	5754	c00735
CPD00059	hypotaurine	107812	c00519
CPD00060	inosine	6021	c00294
CPD00061	myo-inositol	892	c00137
CPD00062	isoleucine	6306	c00407
CPD00063	2-aminoadipate	469	c00956
CPD00064	citrulline	9750	c00327
CPD00065	lactose	84571	c00243
CPD00066	leucine	6106	c00123
CPD00067	lysine	5962	c00047
CPD00068	malate	525	c00149
CPD00069	methionine	6137	c00073
CPD00070	palmitate (16:0)	985	c00249
CPD00071	nicotinamide	936	c00153
CPD00072	stearate (18:0)	5281	c01530
CPD00073	ornithine	6262	c00077
CPD00074	orotate	967	c00295
CPD00075	palmitoleate (16:1n7)	445638	c08362
CPD00076	phenylalanine	6140	c00079
CPD00077	phosphate	1061	c00009
CPD00078	proline	145742	c00148
CPD00079	lactate	612	c00186
CPD00080	pyridoxal	1050	c00250
CPD00081	retinol (Vitamin A)	445354	c00473
CPD00082	salicylate	338	c00805
CPD00083	serine	5951	c00065
CPD00084	serotonin	5202	c00780
CPD00085	taurine	1123	c00245
CPD00086	myristate (14:0)	11005	c06424
CPD00087	urea	1176	c00086
CPD00088	uridine	6029	c00299
CPD00089	trans-urocanate	736715	c00785
CPD00090	glutamate	611	c00025
CPD00091	glutamine	5961	c00064
CPD00092	threonine	6288	c00188
CPD00093	tryptophan	6305	c00078
CPD00094	valine	6287	c00183
CPD00095	nicotinate	938	c00253
CPD00096	glucose	79025	c00031
CPD00097	alpha-ketobutyrate	58	c00109
CPD00098	adenosine	60961	c00212
CPD00099	betaine	247	c00719
CPD00100	cysteine	5862	c00097
CPD00101	mannose	18950	c00159
CPD00102	dimethylglycine	673	c01026
CPD00103	alanine	5950	c00041
CPD00104	tyrosine	6057	c00082
CPD00105	pseudouridine	15047	c02067
CPD00106	pyruvate	1060	c00022
CPD00107	uracil	1174	c00106
CPD00108	xylose	135191	c00181
CPD00109	cytidine	6175	c00475
CPD00110	cotinine	854019	
CPD00111	caffeine	2519	c07481
CPD00112	fructose	5984	c00095
CPD00113	adenine	190	c00147
CPD00114	cytosine	597	c00380
CPD00115	caprate (10:0)	2969	c01571
CPD00116	margarate (17:0)	10465	
CPD00117	nonadecanoate (19:0)	12591	c16535
CPD00118	arachidate (20:0)	10467	c06425
CPD00119	maltose	10991489	c00208
CPD00120	asparagine	6267	c00152
CPD00121	N-stearoyl-sphinganine (d18:0/18:0)*	5283573	
CPD00122	dihydroorotate	648	c00337
CPD00123	caproate (6:0)	8892	c01585
CPD00124	caprylate (8:0)	379	c06423
CPD00125	pentadecanoate (15:0)	13849	c16537
CPD00126	trans-4-hydroxyproline	5810	c01157
CPD00127	allantoin	204	c02350
CPD00128	xanthine	1188	c00385
CPD00129	5-oxoproline	7405	c01879
CPD00130	picolinate	1018	c10164
CPD00131	sarcosine	1088	c00213
CPD00132	pantothenate	6613	c00864
CPD00133	pipecolate	849	c00408
CPD00134	phosphoethanolamine	1015	c00346
CPD00135	glycerate	752	c00258
CPD00136	3-ureidopropionate	111	c02642
CPD00137	N-acetylleucine	70912	c02710
CPD00138	N-acetylmethionine	448580	c02712
CPD00139	N-acetylvaline	66789	
CPD00140	erucate (22:1n9)	5281116	c08316
CPD00141	bilirubin (Z,Z)	5280352	c00486
CPD00142	thyroxine	5819	c01829
CPD00143	gamma-glutamyltyrosine	94340	
CPD00144	methyl indole-3-acetate	74706	
CPD00145	alpha-tocopherol	14985	c02477
CPD00146	N-acetylalanine	88064	c02847
