compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpc (p-18:1/22:6)		
CPD00002	1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpe (p-18:1/22:6)	52925039	
CPD00003	1-(1-enyl-oleoyl)-2-linoleoyl-gpe (p-18:1/18:2)		
CPD00004	1-(1-enyl-oleoyl)-gpc (p-18:1)	52923882	
CPD00005	1-(1-enyl-oleoyl)-gpe (p-18:1)		
CPD00006	1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)		
CPD00007	1-(1-enyl-palmitoyl)-2-arachidonoyl-gpe (p-16:0/20:4)	52925126	
CPD00008	1-(1-enyl-palmitoyl)-2-dihomo-linolenoyl-gpc (p-16:0/20:3)		
CPD00009	1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpc (p-16:0/22:6)	53480699	
CPD00010	1-(1-enyl-palmitoyl)-2-docosahexaenoyl-gpe (p-16:0/22:6)	5283497	
CPD00011	1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)	24779386	
CPD00012	1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)	52925127	
CPD00013	1-(1-enyl-palmitoyl)-2-myristoyl-gpc (p-16:0/14:0)	52923874	
CPD00014	1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)	34779384	
CPD00015	1-(1-enyl-palmitoyl)-2-oleoyl-gpe (p-16:0/18:1)	52925128	
CPD00016	1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)	52923882	
CPD00017	1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)	11146967	
CPD00018	1-(1-enyl-palmitoyl)-gpc (p-16:0)	10917802	
CPD00019	1-(1-enyl-palmitoyl)-gpe (p-16:0)		
CPD00020	1-(1-enyl-stearoyl)-2-arachidonoyl-gpc (p-18:0/20:4)	24779390	
CPD00021	1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)	9547058	
CPD00022	1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-gpe (18:0/20:3)		
CPD00023	1-(1-enyl-stearoyl)-2-dihomo-linolenoyl-gpe (p-18:0/20:3)	52925088	
CPD00024	1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpc (p-18:0/22:6)	42607430	
CPD00025	1-(1-enyl-stearoyl)-2-docosahexaenoyl-gpe (p-18:0/22:6)	42607458	
CPD00026	1-(1-enyl-stearoyl)-2-docosapentaenoyl-gpe (p-18:0/22:5n3)	53480858	
CPD00027	1-(1-enyl-stearoyl)-2-linoleoyl-gpc (p-18:0/18:2)	52923944	
CPD00028	1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)		
CPD00029	1-(1-enyl-stearoyl)-2-oleoyl-gpc (p-18:0/18:1)	42607428	
CPD00030	1-(1-enyl-stearoyl)-2-oleoyl-gpe (p-18:0/18:1)	42607457	
CPD00031	1-(1-enyl-stearoyl)-gpc (p-18:0)		
CPD00032	1-(1-enyl-stearoyl)-gpe (p-18:0)		
CPD00033	1-adrenoyl-gpc (22:4)	52924039	
CPD00034	1-adrenoyl-gpe (22:4)	52925133	
CPD00035	1-arachidonoyl-gpa (20:4)	42607498	
CPD00036	1-arachidonoyl-gpc (20:4)		C05208
CPD00037	1-arachidonoyl-gpc (20:4n6)	24779476	C05208
CPD00038	1-arachidonoyl-gpe (20:4)		
CPD00039	1-arachidonoyl-gpe (20:4n6)	42607465	
CPD00040	1-arachidonoyl-gpi (20:4)	121596217	
CPD00041	1-arachidonoylglycerophosphocholine (20:4n6)		
CPD00042	1-arachidonoylglycerophosphoethanolamine		
CPD00043	1-arachidonoylglycerophosphoinositol		
CPD00044	1-arachidonoylglyercophosphate		
CPD00045	1-arachidonylglycerol		
CPD00046	1-arachidonylglycerol (20:4)	16019980;5282281	C13857
CPD00047	1-arachidoyl-2-arachidonoyl-gpc (20:0/20:4)	24779048	
CPD00048	1-arachidoyl-gpc (20:0)	24779473	C04230
CPD00049	1-arachidoylglycerophosphocholine (20:0)		C04230
CPD00050	1-behenoyl-gpc (22:0)	24779479	
CPD00051	1-cerotoyl-gpc (26:0)		
CPD00052	1-dihomo-linolenoyl-gpc (20:3n3 or 6)	52924055	
CPD00053	1-dihomo-linolenoyl-gpe (20:3n3 or 6)		
CPD00054	1-dihomo-linolenylglycerol (20:3)		
CPD00055	1-dihomo-linolenylglycerol (alpha, gamma)		
CPD00056	1-dihomo-linoleoyl-gpc (20:2)		
CPD00057	1-dihomo-linoleoylglycerol (20:2)		
CPD00058	1-dihomo-linoleoylglycerophosphocholine (20:2n6)		
CPD00059	1-docosahexaenoyl-gpc (22:6)	10415542	
CPD00060	1-docosahexaenoyl-gpe (22:6)	85333229	
CPD00061	1-docosahexaenoylglycerol (22:6)		
CPD00062	1-docosahexaenoylglycerophosphocholine (22:6n3)		
CPD00063	1-docosahexaenoylglycerophosphoethanolamine		
CPD00064	1-docosapentaenoyl-gpc (22:5n3)		
CPD00065	1-docosapentaenoyl-gpc (22:5n6)		
CPD00066	1-docosapentaenoylglycerophosphocholine (22:5n3)		
CPD00067	1-docosapentaenoylglycerophosphocholine (22:5n6)		
CPD00068	1-eicosadienoyl-gpc (20:2)		
CPD00069	1-eicosapentaenoyl-gpc (20:5)		
CPD00070	1-eicosapentaenoyl-gpe (20:5)	53480938	
CPD00071	1-eicosapentaenoylglycerophosphocholine (20:5n3)		
