compound_id	BIOCHEMICAL	INCHIKEY
CPD0388	(14 or 15)-methylpalmitate (a17:0 or i17:0)	NA
CPD0369	(16 or 17)-methylstearate (a19:0 or i19:0)	YETXGSGCWODRAA-UHFFFAOYAR
CPD0591	(2 or 3)-decenoate (10:1n7 or n8)	NA
CPD0534	(N(1) + N(8))-acetylspermidine	NA
CPD0429	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA
CPD0493	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	IOYKZPNDXIIXLN-LOQSCQKMBD
CPD0492	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	QLEHHUPUHJPURI-PWYDUFMYBJ
CPD0491	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA
CPD0503	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA
CPD0504	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA
CPD0385	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	HTZINLFNXLXRBC-CQLBIITFBS
CPD0392	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	QYTPGOPLNFESQC-RLHAVTDZBD
CPD0490	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	URPXXNCTXCOATD-FXMFQVEGBH
CPD0393	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA
CPD0470	1,2-dilinoleoyl-GPC (18:2/18:2)	FVXDQWZBHIXIEJ-LNDKUQBDBA
CPD0182	1,2-dipalmitoyl-GPC (16:0/16:0)	KILNVBDSWZSGLL-KXQOOQHDBV
CPD0179	1,5-anhydroglucitol (1,5-AG)	MPCAJMNYNOGXPB-SLPGGIOYBT
CPD0251	10-heptadecenoate (17:1n7)	GDTXICBNEOEPAZ-FPLPWBNLBM
CPD0250	10-nonadecenoate (19:1n9)	BBOWBNGUEWHNQZ-KTKRTIGZBX
CPD0232	10-undecenoate (11:1n1)	FRPZMMHWLSIFAZ-UHFFFAOYAJ
CPD0568	11beta-hydroxyandrosterone glucuronide	NA
CPD0363	13-HODE + 9-HODE	NA
CPD0358	16a-hydroxy DHEA 3-sulfate	NA
CPD0391	16-hydroxypalmitate	4000
CPD0421	1-arachidonoyl-GPA (20:4)	NA
CPD0293	1-arachidonoyl-GPC (20:4n6)*	LAXQYRRMGGEGOH-JXRLJXCWBN
CPD0298	1-arachidonoyl-GPE (20:4n6)*	ROPRRXYVXLDXQO-XSQXPFHXBE
CPD0314	1-arachidonoyl-GPI (20:4)*	NA
CPD0564	1-carboxyethylisoleucine	NA
CPD0563	1-carboxyethylleucine	NA
CPD0560	1-carboxyethylphenylalanine	NA
CPD0561	1-carboxyethyltyrosine	NA
CPD0562	1-carboxyethylvaline	NA
CPD0384	1-lignoceroyl-GPC (24:0)	4000
CPD0428	1-linolenoyl-GPC (18:3)*	NA
CPD0502	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	NA
CPD0509	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA
CPD0212	1-linoleoylglycerol (18:2)	WECGLUPZRHILCT-HZJYTTRNBQ
CPD0500	1-linoleoyl-GPA (18:2)*	NA
CPD0270	1-linoleoyl-GPC (18:2)	SPJFYYJXNPEZDW-UTJQPWESBU
CPD0297	1-linoleoyl-GPE (18:2)*	DBHKHNGBVGWQJE-HZJYTTRNBF
CPD0329	1-linoleoyl-GPI (18:2)*	NA
CPD0234	1-methyl-4-imidazoleacetate	ZHCKPJGJQOPTLB-UHFFFAOYAW
CPD0590	1-methyl-5-imidazolelactate	MXETUSMIYKMMAT-UHFFFAOYAG
CPD0213	1-methylhistidine	BRMWTNUJHUMWMS-LURJTMIEBU
CPD0003	1-methylnicotinamide	LDHMAVIPBRSVRG-UHFFFAOYAE
CPD0271	1-methylxanthine	MVOYJPOZRLFTCP-UHFFFAOYAI
CPD0184	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	RFVFQQWKPSOBED-PSXMRANNBM
CPD0501	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	NA
CPD0486	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	NA
CPD0247	1-oleoyl-GPC (18:1)	YAMUFBLWGFFICM-PTGWMXDIBX
CPD0296	1-oleoyl-GPE (18:1)	PYVRVRFVLRNJLY-MZMPXXGTBD
CPD0328	1-oleoyl-GPI (18:1)	NA
CPD0289	1-palmitoleoyl-GPC (16:1)*	LFUDDCMNKWEORN-KHPPLWFEBO
CPD0472	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	IIZPXYDJLKNOIY-JXPKJXOSBS
CPD0488	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	NA
CPD0473	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	IESVDEZGAHUQJU-ZLBXKVHBBA
CPD0145	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	JLPULHDHAOZNQI-ZTIMHPMXBU
