compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	glycine	750	C00037
CPD00002	N-acetylglycine	10972	
CPD00003	sarcosine	1088	C00213
CPD00004	dimethylglycine	673	C01026
CPD00005	betaine	247	C00719
CPD00006	serine	5951	C00065
CPD00007	N-acetylserine	65249	
CPD00008	2-methylserine	94309	C02115
CPD00009	threonine	6288	C00188
CPD00010	N-acetylthreonine	152204	
CPD00011	allo-threonine	99289	C05519
CPD00012	O-acetylhomoserine	439389	C01077
CPD00013	alanine	5950	C00041
CPD00014	N-acetylalanine	88064	C02847
CPD00015	N-methylalanine	5288725	C02721
CPD00016	N,N-dimethylalanine	5488191	
CPD00017	N-carbamoylalanine	426409	
CPD00018	aspartate	5960	C00049
CPD00019	N-acetylaspartate (NAA)	65065	C01042
CPD00020	asparagine	6267	C00152
CPD00021	N-acetylasparagine	99715	
CPD00022	hydroxyasparagine	97663	C03124
CPD00023	glutamate	611	C00025
CPD00024	glutamine	5961	C00064
CPD00025	alpha-ketoglutaramate*		
CPD00026	N-acetylglutamate	70914	C00624
CPD00027	N-acetylglutamine	182230	C02716
CPD00028	4-hydroxyglutamate	439902	C03079
CPD00029	gamma-carboxyglutamate	40772	
CPD00030	pyroglutamine*	134508	
CPD00031	N-acetyl-aspartyl-glutamate (NAAG)	5255	C12270
CPD00032	beta-citrylglutamate	72715786	C20775
CPD00033	carboxyethyl-GABA	2572	
CPD00034	S-1-pyrroline-5-carboxylate	1196	C04322
CPD00035	citramalate	1081	C00815
CPD00036	histidine	6274	C00135
CPD00037	1-methylhistidine	92105	C01152
CPD00038	3-methylhistidine	64969	C01152
CPD00039	N-acetylhistidine	75619	C02997
CPD00040	N-acetyl-3-methylhistidine*	193270	
CPD00041	N-acetyl-1-methylhistidine*	193270	
CPD00042	hydantoin-5-propionate	782	C05565
CPD00043	trans-urocanate	736715	C00785
CPD00044	imidazole propionate	70630	
CPD00045	formiminoglutamate	439233	C00439
CPD00046	imidazole lactate	440129	C05568
CPD00047	N-acetylcarnosine	9903482	
CPD00048	1-methyl-4-imidazoleacetate	75810	C05828
CPD00049	1-methyl-5-imidazoleacetate	6451814	
CPD00050	1-ribosyl-imidazoleacetate*	5117448	C05131
CPD00051	lysine	5962	C00047
CPD00052	N2-acetyllysine	92907	C12989
CPD00053	N6-acetyllysine	92832	C02727
CPD00054	N2-acetyl,N6-methyllysine		
CPD00055	N2-acetyl,N6,N6-dimethyllysine		
CPD00056	N6-methyllysine	164795	C02728
CPD00057	N6,N6-dimethyllysine	193344	C05545
CPD00058	N6,N6,N6-trimethyllysine	440120	C03793
CPD00059	hydroxy-N6,N6,N6-trimethyllysine*		
CPD00060	5-hydroxylysine	1029	C16741
CPD00061	5-(galactosylhydroxy)-L-lysine		
CPD00062	fructosyllysine	123708	
CPD00063	2-aminoadipate	469	C00956
CPD00064	glutaroylcarnitine (C5)	71464488	
CPD00065	pipecolate	849	C00408
CPD00066	6-oxopiperidine-2-carboxylate	3014237	
CPD00067	N,N,N-trimethyl-5-aminovalerate		
CPD00068	phenylalanine	6140	C00079
CPD00069	N-acetylphenylalanine	74839	C03519
CPD00070	1-carboxyethylphenylalanine		
CPD00071	phenylpyruvate	997	C00166
CPD00072	phenyllactate (PLA)	3848	C05607
CPD00073	phenylacetate	999	C07086
CPD00074	2-hydroxyphenylacetate	11970	C05852
CPD00075	4-hydroxyphenylacetate	127	C00642
CPD00076	tyrosine	6057	C00082
CPD00077	N-acetyltyrosine	68310	
CPD00078	4-hydroxyphenylpyruvate	979	C01179
CPD00079	3-(4-hydroxyphenyl)lactate (HPLA)	9378	C03672
CPD00080	phenol sulfate	74426	C02180
CPD00081	4-methoxyphenol sulfate		
CPD00082	vanillactate	160637	
CPD00083	vanillylmandelate (VMA)	1245	C05584
CPD00084	3-methoxytyrosine	1670	
CPD00085	homovanillate (HVA)	1738	C05582
CPD00086	gentisate	3469	C00628
CPD00087	dopamine 3-O-sulfate	122136	C13690
CPD00088	p-cresol glucuronide*	154035	
CPD00089	tyramine O-sulfate	153005	
CPD00090	N-formylphenylalanine	759256	
CPD00091	thyroxine	5819	C01829
CPD00092	tryptophan	6305	C00078
CPD00093	N-acetyltryptophan	700653	C03137
CPD00094	C-glycosyltryptophan	10981970	
CPD00095	tryptophan betaine	442106	C09213
CPD00096	kynurenine	161166	C00328
CPD00097	N-acetylkynurenine (2)		
CPD00098	kynurenate	3845	C01717
CPD00099	N-formylanthranilic acid	101399	C05653
CPD00100	anthranilate	227	C00108
CPD00101	xanthurenate	5699	C02470
CPD00102	8-methoxykynurenate	76230	C05830
CPD00103	picolinate	1018	C10164
CPD00104	5-hydroxyindoleacetate	1826	C05635
CPD00105	indolelactate	92904	C02043
CPD00106	indoleacetate	802	C00954
CPD00107	indolepropionate	3744	
CPD00108	indoleacetylglutamine	25200879	
CPD00109	indole-3-carboxylate	69867	C19837
CPD00110	indoleacetoylcarnitine*		
CPD00111	3-indoxyl sulfate	10258	
CPD00112	6-bromotryptophan		
CPD00113	leucine	6106	C00123
CPD00114	N-acetylleucine	70912	C02710
CPD00115	1-carboxyethylleucine		
CPD00116	4-methyl-2-oxopentanoate	70	C00233
CPD00117	alpha-hydroxyisocaproate	83697	C03264
CPD00118	2-ketocaprylate	67600	
CPD00119	isovalerate (C5)	10430	C08262
CPD00120	isovalerylcarnitine (C5)	6426851	
CPD00121	beta-hydroxyisovalerate	69362	
CPD00122	3-methylglutaconate	1551553	
CPD00123	3-methylglutarylcarnitine (2)	128145	
CPD00124	isoleucine	6306	C00407
CPD00125	N-acetylisoleucine	2802421	
CPD00126	1-carboxyethylisoleucine		
CPD00127	3-methyl-2-oxovalerate	47	C00671
CPD00128	2-hydroxy-3-methylvalerate	164623	
CPD00129	2-methylbutyrylcarnitine (C5)	6426901	
CPD00130	2-methylbutyrylglycine (C5)	193872	
CPD00131	tiglyl carnitine (C5)	22833596	
CPD00132	3-hydroxy-2-ethylpropionate	188979	
