compound_id	BIOCHEMICAL	KEGG	PUBCHEM
C00001	(12 or 13)-methylmyristate (a15:0 or i15:0)	151014	NA
C00002	(14 or 15)-methylpalmitate (a17:0 or i17:0)	17903417	NA
C00003	(16 or 17)-methylstearate (a19:0 or i19:0)	3083779	NA
C00004	(2 or 3)-decenoate (10:1n7 or n8)	NA	NA
C00005	(2,4 or 2,5)-dimethylphenol sulfate	NA	NA
C00006	(2-butoxyethoxy)acetic acid	106312	NA
C00007	(N(1) + N(8))-acetylspermidine	NA	NA
C00008	(R)-3-hydroxybutyrylcarnitine	53481617	NA
C00009	(S)-3-hydroxybutyrylcarnitine	NA	NA
C00010	1,2,3-benzenetriol sulfate (2)	NA	NA
C00011	1,2-dilinoleoyl-GPC (18:2/18:2)	5288075	NA
C00012	1,2-dilinoleoyl-GPE (18:2/18:2)*	9546812	NA
C00013	1,2-dipalmitoyl-GPC (16:0/16:0)	452110	NA
C00014	1,3,7-trimethylurate	79437	C16361
C00015	1,3-dimethylurate	70346	NA
C00016	1,5-anhydroglucitol (1,5-AG)	64960	C07326
C00017	1,7-dimethylurate	91611	C16356
C00018	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
C00019	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
C00020	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	NA
C00021	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	NA
C00022	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	NA
C00023	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	NA
C00024	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	NA
C00025	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	NA
C00026	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	11146967	NA
C00027	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	10917802	NA
C00028	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
C00029	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	9547058	NA
C00030	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
C00031	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	NA
C00032	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
C00033	1-arachidonoyl-GPC (20:4n6)*	NA	C05208
C00034	1-arachidonoyl-GPE (20:4n6)*	42607465	NA
C00035	1-arachidonoyl-GPI (20:4)*	NA	NA
C00036	1-arachidonylglycerol (20:4)	5282281	C13857
C00037	1-carboxyethylisoleucine	NA	NA
C00038	1-carboxyethylleucine	NA	NA
C00039	1-carboxyethylphenylalanine	NA	NA
C00040	1-carboxyethyltyrosine	NA	NA
C00041	1-carboxyethylvaline	NA	NA
C00042	1-dihomo-linolenylglycerol (20:3)	NA	NA
C00043	1-docosahexaenoylglycerol (22:6)	NA	NA
C00044	1-linolenoyl-GPC (18:3)*	NA	NA
C00045	1-linolenoylglycerol (18:3)	53480978	NA
C00046	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	NA
C00047	1-linoleoyl-GPA (18:2)*	NA	NA
C00048	1-linoleoyl-GPC (18:2)	11988421	C04100
C00049	1-linoleoyl-GPE (18:2)*	52925130	NA
C00050	1-linoleoyl-GPG (18:2)*	NA	NA
C00051	1-linoleoyl-GPI (18:2)*	NA	NA
C00052	1-linoleoylglycerol (18:2)	5283469	NA
C00053	1-methyl-4-imidazoleacetate	75810	C05828
