compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD00001	1,2,3-benzenetriol sulfate (2)		
CPD00002	1,2-dilinoleoyl-GPC (18:2/18:2)	5288075	
CPD00003	1,2-dipalmitoyl-GPC (16:0/16:0)	452110	
CPD00004	1,3,7-trimethylurate	79437	C16361
CPD00005	1,3-dimethylurate	70346	
CPD00006	1,5-anhydroglucitol (1,5-AG)	64960	C07326
CPD00007	1,7-dimethylurate	91611	C16356
CPD00008	1-(1-enyl-oleoyl)-GPE (P-18:1)*		
CPD00009	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*		
CPD00010	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*		
CPD00011	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*		
CPD00012	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*		
CPD00013	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*		
CPD00014	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*		
CPD00015	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*		
CPD00016	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	10917802	
CPD00017	1-(1-enyl-palmitoyl)-GPE (P-16:0)*		
CPD00018	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	9547058	
CPD00019	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*		
CPD00020	1-(1-enyl-stearoyl)-GPE (P-18:0)*		
CPD00021	1-arachidonoyl-GPA (20:4)		
CPD00022	1-arachidonoyl-GPC (20:4n6)*		C05208
CPD00023	1-arachidonoyl-GPE (20:4n6)*	42607465	
CPD00024	1-arachidonoyl-GPI (20:4)*		
CPD00025	1-arachidonylglycerol (20:4)	5282281	C13857
CPD00026	1-linolenoyl-GPC (18:3)*		
CPD00027	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*		
CPD00028	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*		
CPD00029	1-linoleoyl-GPA (18:2)*		
CPD00030	1-linoleoyl-GPC (18:2)	11988421	C04100
CPD00031	1-linoleoyl-GPE (18:2)*	52925130	
CPD00032	1-linoleoyl-GPG (18:2)*		
CPD00033	1-linoleoyl-GPI (18:2)*		
CPD00034	1-linoleoylglycerol (18:2)	5283469	
CPD00035	1-methylguanidine	10111	C02294
CPD00036	1-methylhistidine	92105	C01152
CPD00037	1-methylimidazoleacetate	75810	C05828
CPD00038	1-methylnicotinamide	10129985	C02918
