compound_id	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	RI	MZ	PLATFORM	KEGG
CPD00001	(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	Fatty Acid, Branched	5695	269.2487	LC/MS Neg	
CPD00002	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched	5993	297.2799	LC/MS Neg	
CPD00003	(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	4990	169.1234	LC/MS Neg	
CPD00004	(2,4 or 2,5)-dimethylphenol sulfate	Xenobiotics	Food Component/Plant	3474	201.0227	LC/MS Neg	
CPD00005	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	3080	188.1757	LC/MS Pos Early	
CPD00006	(R)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	2400	248.1493	LC/MS Pos Early	
CPD00007	(S)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	2340	248.1493	LC/MS Pos Early	
CPD00008	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	1709	204.9812	LC/MS Neg	
CPD00009	1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	2006	782.5694	LC/MS Pos Late	
CPD00010	1,2-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phosphatidylethanolamine (PE)	2083	740.5225	LC/MS Pos Late	
CPD00011	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	2365	734.5694	LC/MS Pos Late	
CPD00012	1,3-dimethylurate	Xenobiotics	Xanthine Metabolism	1671.4	195.0524	LC/MS Neg	
CPD00013	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	802	163.0612	LC/MS Neg	C07326
CPD00014	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	1578.6	195.0524	LC/MS Neg	C16356
CPD00015	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	894	462.299	LC/MS Polar	
CPD00016	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	Lipid	Plasmalogen	2154	766.5745	LC/MS Pos Late	
CPD00017	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen	2270	724.5276	LC/MS Pos Late	
CPD00018	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Lipid	Plasmalogen	2226	742.5745	LC/MS Pos Late	
CPD00019	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	Lipid	Plasmalogen	2351	700.5276	LC/MS Pos Late	
CPD00020	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Lipid	Plasmalogen	2443	744.5902	LC/MS Pos Late	
CPD00021	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Lipid	Plasmalogen	2600	702.5432	LC/MS Pos Late	
CPD00022	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	Lipid	Plasmalogen	2218	716.5589	LC/MS Pos Late	
CPD00023	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	Lipid	Plasmalogen	2454	718.5745	LC/MS Pos Late	
CPD00024	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	1547	480.3449	LC/MS Pos Late	
CPD00025	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	1558	438.2979	LC/MS Pos Late	
CPD00026	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Plasmalogen	2511	752.5589	LC/MS Pos Late	
CPD00027	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Lipid	Plasmalogen	2633	728.5589	LC/MS Pos Late	
CPD00028	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Lipid	Plasmalogen	2950	730.5745	LC/MS Pos Late	
CPD00029	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	1649	466.3292	LC/MS Pos Late	
CPD00030	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	5499	457.2361	LC/MS Neg	
CPD00031	1-arachidonoyl-GPC* (20:4)*	Lipid	Lysophospholipid	1460	544.3398	LC/MS Pos Late	C05208
CPD00032	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysophospholipid	1470	502.2928	LC/MS Pos Late	
CPD00033	1-arachidonoyl-GPI* (20:4)*	Lipid	Lysophospholipid	5482	619.2889	LC/MS Neg	
CPD00034	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	6250	303.2329	LC/MS Neg	C13857
CPD00035	1-carboxyethylisoleucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2628	202.1085	LC/MS Neg	
CPD00036	1-carboxyethylleucine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2663	202.1085	LC/MS Neg	
CPD00037	1-carboxyethylphenylalanine	Amino Acid	Phenylalanine Metabolism	2844	236.0928	LC/MS Neg	
CPD00038	1-carboxyethyltyrosine	Amino Acid	Tyrosine Metabolism	1846	252.0877	LC/MS Neg	
CPD00039	1-carboxyethylvaline	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2008	188.0928	LC/MS Neg	
CPD00040	1-hydroxy-2-naphthalenecarboxylate	Xenobiotics	Drug - Other	3930	187.0401	LC/MS Neg	C03203
CPD00041	1-lignoceroyl-GPC (24:0)	Lipid	Lysophospholipid	1907	608.465	LC/MS Pos Late	
CPD00042	1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid	1410	518.3241	LC/MS Pos Late	
CPD00043	1-linolenoylglycerol (18:3)	Lipid	Monoacylglycerol	6214	277.2173	LC/MS Neg	
CPD00044	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phosphatidylcholine (PC)	1969	806.5694	LC/MS Pos Late	
CPD00045	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phosphatidylcholine (PC)	1939	780.5538	LC/MS Pos Late	
CPD00046	1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	5483	433.2361	LC/MS Neg	
CPD00047	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	1465	520.3398	LC/MS Pos Late	C04100
CPD00048	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	1482	478.2928	LC/MS Pos Late	
CPD00049	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	5516	507.2728	LC/MS Neg	
CPD00050	1-linoleoyl-GPI* (18:2)*	Lipid	Lysophospholipid	5494	595.2889	LC/MS Neg	
CPD00051	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	6477	279.2329	LC/MS Neg	
CPD00052	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	2064	141.0659	LC/MS Pos Early	C05828
CPD00053	1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	1989	141.0659	LC/MS Pos Early	
CPD00054	1-methylhistidine	Amino Acid	Histidine Metabolism	2755	170.0924	LC/MS Pos Early	C01152
CPD00055	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1940	137.0709	LC/MS Pos Early	C02918
CPD00056	1-methylurate	Xenobiotics	Xanthine Metabolism	1099	181.0367	LC/MS Neg	C16359
CPD00057	1-methylxanthine	Xenobiotics	Xanthine Metabolism	1568.8	165.0418	LC/MS Neg	C16358
CPD00058	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	Lipid	Phosphatidylcholine (PC)	1914	754.5381	LC/MS Pos Late	
CPD00059	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	Lipid	Phosphatidylcholine (PC)	2147	706.5381	LC/MS Pos Late	
CPD00060	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	Lipid	Phosphatidylethanolamine (PE)	2200	766.5381	LC/MS Pos Late	
CPD00061	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	Lipid	Phosphatidylcholine (PC)	2011	832.5851	LC/MS Pos Late	
CPD00062	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	Lipid	Phosphatidylethanolamine (PE)	2119	790.5381	LC/MS Pos Late	
CPD00063	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	Lipid	Phosphatidylcholine (PC)	2165	784.5851	LC/MS Pos Late	
CPD00064	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Lipid	Phosphatidylethanolamine (PE)	762	740.5236	LC/MS Polar	
CPD00065	1-oleoylglycerophosphate (18:1)	Lipid	Lysophospholipid	1433	435.2517	LC/MS Polar	
CPD00066	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	1540	522.3554	LC/MS Pos Late	
CPD00067	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	1554	480.3085	LC/MS Pos Late	
CPD00068	1-oleoyl-GPI (18:1)	Lipid	Lysophospholipid	5599	597.3045	LC/MS Neg	
CPD00069	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	6650	281.2486	LC/MS Neg	
CPD00070	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Lipid	Phosphatidylcholine (PC)	1850	754.5381	LC/MS Pos Late	
CPD00071	1-palmitoleoyl-GPC* (16:1)*	Lipid	Lysophospholipid	1450	494.3241	LC/MS Pos Late	
CPD00072	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	2091	782.5694	LC/MS Pos Late	
CPD00073	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phosphatidylethanolamine (PE)	2198	740.5225	LC/MS Pos Late	
CPD00074	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Lipid	Phosphatidylinositol (PI)	892	857.5186	LC/MS Polar	
