compound_id	BIOCHEMICAL	PUBCHEM	KEGG
CPD0001	3-hydroxyphenylacetoylglutamine		
CPD0002	4-hydroxyphenylacetylglutamine		
CPD0003	phenylacetylcarnitine	101724840	
CPD0004	phenylacetylglutamate	11579826	
CPD0005	phenylacetylglutamine	92258	C04148
CPD0006	N6-carboxymethyllysine	123800	
CPD0007	alanine	5950	C00041
CPD0008	asparagine	6267	C00152
CPD0009	aspartate	5960	C00049
CPD0010	hydroxyasparagine	15991574	C20631
CPD0011	N,N-dimethylalanine	5488191	
CPD0012	N-acetylalanine	88064	C02847
CPD0013	N-acetylasparagine	99715	
CPD0014	N-acetylaspartate (NAA)	65065	C01042
CPD0015	N-carbamoylalanine	426409	
CPD0016	erythronate*	2781043	
CPD0017	glucuronate	441478;94715;23677976;65041;444791	C16245
CPD0018	N-acetylglucosamine/N-acetylgalactosamine	84265;439174	C01074
CPD0019	N-acetylglucosaminylasparagine	123826	C04540
CPD0020	N-acetylneuraminate	439197	C00270
CPD0021	11-ketoetiocholanolone glucuronide		
CPD0022	11beta-hydroxyandrosterone glucuronide		
CPD0023	11beta-hydroxyetiocholanolone glucuronide*		
CPD0024	16a-hydroxy DHEA 3-sulfate	20848950	
CPD0025	5alpha-androstan-3alpha,17alpha-diol monosulfate		
CPD0026	5alpha-androstan-3alpha,17beta-diol disulfate	56639109	
CPD0027	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	121596226;121596225	
CPD0028	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	121596225	
CPD0029	5alpha-androstan-3beta,17alpha-diol disulfate	56639109	
CPD0030	5alpha-androstan-3beta,17beta-diol disulfate	90186325	C12525
CPD0031	5alpha-androstan-3beta,17beta-diol monosulfate (2)		
CPD0032	andro steroid monosulfate C19H28O6S (1)*	159663	
CPD0033	androstenediol (3alpha, 17alpha) monosulfate (2)		
CPD0034	androstenediol (3alpha, 17alpha) monosulfate (3)		
CPD0035	androstenediol (3beta,17beta) disulfate (1)	87120982	C04295
CPD0036	androstenediol (3beta,17beta) disulfate (2)	87120982	
CPD0037	androstenediol (3beta,17beta) monosulfate (1)	13847309;129670631	
CPD0038	androstenediol (3beta,17beta) monosulfate (2)		
CPD0039	androsterone glucuronide	114833	C11135
CPD0040	androsterone sulfate	159663	
CPD0041	dehydroepiandrosterone sulfate (DHEA-S)	12594	C04555
CPD0042	epiandrosterone sulfate	9929317	C04555
CPD0043	etiocholanolone glucuronide	270605	
CPD0044	2-O-methylascorbic acid	54726398	
CPD0045	ascorbic acid 2-sulfate	54676864	
CPD0046	ascorbic acid 3-sulfate*	11425365	
CPD0047	gulonate*	152304	C00800
CPD0048	oxalate (ethanedioate)	971	C00209
CPD0049	threonate	5460407;151152	C01620
CPD0050	1H-indole-7-acetic acid	18356439	
CPD0051	N-methylpipecolate	11286529	
CPD0052	2-hydroxyhippurate (salicylurate)	10253	C07588
CPD0053	2-methoxyhydroquinone sulfate (1)		
CPD0054	2-methoxyhydroquinone sulfate (2)		
CPD0055	3-(3-hydroxyphenyl)propionate	91	C11457
CPD0056	3-(3-hydroxyphenyl)propionate sulfate	187488	
CPD0057	3-hydroxyhippurate	450268	
CPD0058	3-hydroxyhippurate sulfate	186339	
CPD0059	3-methoxycatechol sulfate (1)	129892430	
CPD0060	3-methoxycatechol sulfate (2)		
CPD0061	3-methyl catechol sulfate (1)	118431379	
CPD0062	3-phenylpropionate (hydrocinnamate)	107	C05629
CPD0063	4-acetylphenyl sulfate	4684006	
CPD0064	4-allylcatechol sulfate		
CPD0065	4-ethylcatechol sulfate		
CPD0066	4-ethylphenyl sulfate	20822574	C13637
CPD0067	4-hydroxyhippurate	151012	
CPD0068	4-methylcatechol sulfate	54104170	
CPD0069	4-methylguaiacol sulfate		
CPD0070	4-vinylcatechol sulfate		
CPD0071	4-vinylphenol sulfate	6426766	C05627
CPD0072	benzoate	243	C00180
CPD0073	catechol sulfate	3083879	
CPD0074	guaiacol sulfate	22473	
CPD0075	hippurate	464	C01586
CPD0076	methyl-4-hydroxybenzoate sulfate	10657183	
CPD0077	o-cresol sulfate	11615528	
CPD0078	p-cresol sulfate	4615423	
CPD0079	propyl 4-hydroxybenzoate sulfate	131838881	
CPD0080	carnitine	288	C00487,C00308
CPD0081	deoxycarnitine	22620	C01181
CPD0082	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)		
CPD0083	1,2,3-benzenetriol sulfate (1)		
CPD0084	1,2,3-benzenetriol sulfate (2)	54110629;92013662	
CPD0085	2,4-di-tert-butylphenol		
CPD0086	2-methoxyresorcinol sulfate		
CPD0087	2-naphthol sulfate	74428	
CPD0088	3,5-dichloro-2,6-dihydroxybenzoic acid	24721632	
CPD0089	3-acetylphenol sulfate		
CPD0090	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*	134581543	
CPD0091	3-hydroxy-2-methylpyridine sulfate		
CPD0092	3-hydroxypyridine glucuronide		
CPD0093	3-hydroxypyridine sulfate		
CPD0094	4-acetamidobenzoate	6918889	D03836
CPD0095	4-hydroxychlorothalonil	34217	
CPD0096	5-hydroxy-2-methylpyridine sulfate		
CPD0097	6-hydroxyindole sulfate	122198196	
CPD0098	dibutyl sulfosuccinate	423891	
CPD0099	diethanolamine	8113	C06772
CPD0100	ectoine	126041	C06231
CPD0101	EDTA	6049	C00284
CPD0102	ethyl glucuronide	18392195	
CPD0103	iminodiacetate (IDA)	8897	C19911
CPD0104	O-sulfo-L-tyrosine	514186	
CPD0105	perfluorooctanesulfonate (PFOS)	74483	C18142
CPD0106	perfluorooctanoate (PFOA)	9554	
CPD0107	sulfate*	5152822	C00059
CPD0108	thioproline	93176	
CPD0109	corticosterone	5753	C02140
CPD0110	cortisol	5754	C00735
CPD0111	cortisone	222786	C00762
CPD0112	cortolone glucuronide (1)		
CPD0113	tetrahydrocortisol glucuronide		
CPD0114	tetrahydrocortisol sulfate (1)		
CPD0115	tetrahydrocortisone glucuronide (5)		
CPD0116	creatine	586	C00300
CPD0117	creatinine	588	C00791
CPD0118	guanidinoacetate	763	C00581
CPD0119	isoleucylglycine	342532	
CPD0120	leucylglycine	79070	
CPD0121	prolylglycine	6426709	
CPD0122	threonylphenylalanine	7010580	
CPD0123	valylglutamine	5253209	
CPD0124	valylglycine	136487	
CPD0125	sucrose	5988	C00089
CPD0126	14-HDoHE/17-HDoHE	11566378;6439179	
CPD0127	2-hydroxyacetaminophen sulfate*	86290013	
CPD0128	2-hydroxyibuprofen	10443535	
CPD0129	2-methoxyacetaminophen glucuronide*	121596203	
CPD0130	2-methoxyacetaminophen sulfate*	86290014	
CPD0131	3-(cystein-S-yl)acetaminophen*	171264	
CPD0132	3-(methylthio)acetaminophen sulfate*		
CPD0133	3-(N-acetyl-L-cystein-S-yl) acetaminophen	83967	
CPD0134	4-acetamidophenol	1983	C06804
CPD0135	4-acetamidophenylglucuronide	83944;4022661	
CPD0136	4-acetaminophen sulfate	83939	C06804
CPD0137	4-aminophenol sulfate (2)		
CPD0138	carboxyibuprofen	10444113	
CPD0139	carboxyibuprofen glucuronide*	135390721	
CPD0140	celecoxib	2662	D00567,C07589
CPD0141	desmethylnaproxen	162920	
CPD0142	desmethylnaproxen sulfate	184679	
CPD0143	ibuprofen	3672	C01588
CPD0144	ibuprofen acyl glucuronide	163959	
CPD0145	lidocaine	3676	D00358
CPD0146	meloxicam	54677470	C08169,D00969
CPD0147	morphine	5288826	C01516
CPD0148	morphine-3-glucuronide	5484731	C16643
CPD0149	morphine-6-glucuronide	5360621	C16578
CPD0150	N-ethylglycinexylidide	24415	C16561
CPD0151	naproxen	156391	C01517
CPD0152	salicyluric glucuronide*	121596205	
CPD0153	3-hydroxyquinine	157225	C07344
CPD0154	clindamycin	446598	D00277,DG00435,C06914
CPD0155	fluconazole	3365	C07002
CPD0156	minocyclin		D05045,C07225
CPD0157	N-acetyl sulfapyridine	58638	
CPD0158	quinine	3034034	C06526
CPD0159	emtricitabine	60877	D01199,C12599
CPD0160	lamivudine	60825	C07065
CPD0161	4-hydroxycoumarin	54682930	C20414
CPD0162	atenolol	2249	D00235
CPD0163	diltiazem	39186	D07845
CPD0164	furosemide	3440	D00331
CPD0165	hydrochlorothiazide	3639	C07041
CPD0166	losartan	3961	D08146,C07072
CPD0167	metoprolol	4171	D02358
CPD0168	metoprolol acid metabolite*	62936	
CPD0169	olmesartan	158781	D05246
CPD0170	rivaroxaban	9875401	
CPD0171	tadalafil	110635	
CPD0172	verapamil	2520	DG00329,C07188,D02356
CPD0173	dexlansoprazole	9578005	D08903
CPD0174	omeprazole	4594	C07324
CPD0175	ondansetron	4595	C07325
CPD0176	pantoprazole	4679	C11806
CPD0177	promethazine	4927	C07404
CPD0178	ranitidine	3001055	D00422
CPD0179	ranitidine N-oxide*	62985	
CPD0180	allopurinol	135401907	D00224
CPD0181	allopurinol riboside	135407110	
CPD0182	febuxostat	134018	D01206,DG02878
CPD0183	glyburide	3488	D00336,C07022
CPD0184	metformin	4091	C07151
CPD0185	oxypurinol	135398752	D02365
CPD0186	probenecid	4911	C07372
CPD0187	sitagliptin	4369359	D08516,DG00118
CPD0188	2-propyl-2-pentenoate (2-ene-valproate)	6437068	C16653
CPD0189	2-propyl-4-pentenoate (4-ene-valproate)	104896	
CPD0190	3-hydroxyvalproate	134459	C16651
CPD0191	5-hydroxyvalproate	135244	C16650
CPD0192	cyclobenzaprine	2895	C06931,D07758
CPD0193	gabapentin	3446	D00332
CPD0194	homoveratric acid	7139	
CPD0195	lamotrigine	3878	D00354
CPD0196	pregabalin	5486971	
CPD0197	pyridostigmine	4991	C07410
CPD0198	topiramate	5284627	D00537
CPD0199	valproate (2-propylpentanoate)	3121	C07185
CPD0200	valproic acid glucuronide	88111	
CPD0201	1-hydroxy-2-naphthalenecarboxylate	54675865	C03203
CPD0202	citalopram propionate*	10403174	C16610
CPD0203	citalopram/escitalopram	146570	D07913
CPD0204	desmethylcitalopram*	162180	C16608
CPD0205	diazepam	3016	D00293
CPD0206	hydroxybupropion	446	
CPD0207	N,O-didesmethylvenlafaxine glucuronide	71316036	
CPD0208	N-desalkylquetiapine*	11369918	
CPD0209	O-desmethylvenlafaxine	125017	D07793
CPD0210	paroxetine	43815	D02362,C07415
CPD0211	quetiapine	5002	"C07397,D08456,
DG00899"
CPD0212	sertraline	68617	C07246
CPD0213	THC carboxylic acid	107885	
CPD0214	THC carboxylic acid glucuronide		
CPD0215	trazadone	5533	C07156,D08626
CPD0216	venlafaxine	5656	C07187
CPD0217	zolpidem	5732	C07219
CPD0218	cetirizine	2678	C07778
CPD0219	De(carboxymethoxy) cetirizine acetic acid		
CPD0220	diphenhydramine	3100	C06960
CPD0221	doxylamine	3162	D07878
CPD0222	fexofenadine	3348	C06999
CPD0223	guaifenesin	3516	D00337
CPD0224	montelukast	5281040	C07482
CPD0225	2,6-dihydroxybenzoic acid	9338	
CPD0226	hydroquinone sulfate	161220	C00530
CPD0227	salicylate	338	C00805
CPD0228	12-HETE	5283155	C14777
CPD0229	linoleoyl ethanolamide	5283446	
CPD0230	N-linoleoyltaurine*	52922081	
CPD0231	N-oleoylserine	44190514	
CPD0232	N-oleoyltaurine	6437033	
CPD0233	N-palmitoylserine	6453686	
CPD0234	N-palmitoyltaurine	14504290	
CPD0235	N-stearoylserine*		
CPD0236	N-stearoyltaurine	168274	
CPD0237	oleoyl ethanolamide	5283454	
CPD0238	palmitoyl ethanolamide	4671	C16512
CPD0239	stearoyl ethanolamide	27902	
CPD0240	adipoylcarnitine (C6-DC)	71296139	
CPD0241	octadecanedioylcarnitine (C18-DC)*		
CPD0242	octadecenedioylcarnitine (C18:1-DC)*		
CPD0243	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)		
CPD0244	(R)-3-hydroxybutyrylcarnitine	53481617	
CPD0245	(S)-3-hydroxybutyrylcarnitine	71464477	
CPD0246	3-hydroxydecanoylcarnitine	121454166	
CPD0247	3-hydroxyhexanoylcarnitine (1)		
CPD0248	3-hydroxyoctanoylcarnitine (1)		
CPD0249	3-hydroxyoctanoylcarnitine (2)		
CPD0250	arachidoylcarnitine (C20)*	53477833	
CPD0251	behenoylcarnitine (C22)*	71464577	
CPD0252	cerotoylcarnitine (C26)*	53477828	
CPD0253	lignoceroylcarnitine (C24)*		
CPD0254	margaroylcarnitine (C17)*	53477803	
CPD0255	myristoylcarnitine (C14)	6426854	
CPD0256	palmitoylcarnitine (C16)	461	C02990
CPD0257	stearoylcarnitine (C18)	3006797	
CPD0258	cis-3,4-methyleneheptanoylcarnitine		
CPD0259	decanoylcarnitine (C10)	10245190	
CPD0260	hexanoylcarnitine (C6)	6426853	
CPD0261	laurylcarnitine (C12)	168381	
CPD0262	nonanoylcarnitine (C9)	91825642	
CPD0263	octanoylcarnitine (C8)	11953814;123701	C02838
CPD0264	3-decenoylcarnitine		
CPD0265	5-dodecenoylcarnitine (C12:1)	91825571	
CPD0266	cis-4-decenoylcarnitine (C10:1)	57357170	
CPD0267	eicosenoylcarnitine (C20:1)*		
CPD0268	myristoleoylcarnitine (C14:1)*	129691961	
CPD0269	nervonoylcarnitine (C24:1)*		
CPD0270	oleoylcarnitine (C18:1)	6441392	
CPD0271	palmitoleoylcarnitine (C16:1)*	71464547	
CPD0272	undecenoylcarnitine (C11:1)		
CPD0273	ximenoylcarnitine (C26:1)*		
CPD0274	arachidonoylcarnitine (C20:4)	136212424	
CPD0275	dihomo-linolenoylcarnitine (C20:3n3 or 6)*		
CPD0276	dihomo-linoleoylcarnitine (C20:2)*		
CPD0277	linolenoylcarnitine (C18:3)*		
CPD0278	linoleoylcarnitine (C18:2)*	6450015	
CPD0279	acetylcarnitine (C2)	7045767	C02571
CPD0280	arachidonoylcholine	122198216	
CPD0281	docosahexaenoylcholine		
CPD0282	linoleoylcholine*	53481656	
CPD0283	oleoylcholine	59040790	
CPD0284	palmitoylcholine	151731	
CPD0285	stearoylcholine*	90111	
CPD0286	4-methylhexanoylglutamine		
CPD0287	hexanoylglutamine		
CPD0288	2-butenoylglycine	6303498	
CPD0289	3-hydroxybutyroylglycine		
CPD0290	cis-3,4-methyleneheptanoylglycine		
CPD0291	N-linoleoylglycine	6433346	
CPD0292	N-palmitoylglycine	151008	
CPD0293	picolinoylglycine	11788622	
CPD0294	trans-2-hexenoylglycine		
CPD0295	butyrylcarnitine (C4)	439829	C02862
CPD0296	butyrylglycine (C4)	88412	
CPD0297	methylmalonate (MMA)	487	C02170
CPD0298	propionylcarnitine (C3)	107738	C03017
CPD0299	propionylglycine (C3)	98681	
CPD0300	malonylcarnitine	22833583	
CPD0301	N-linoleoylserine*		
CPD0302	2-aminoheptanoate	227939	
CPD0303	2-aminooctanoate	69522	
CPD0304	N-acetyl-2-aminooctanoate*	95555	
CPD0305	(14 or 15)-methylpalmitate (a17:0 or i17:0)	8181;17903417	C16995
CPD0306	(16 or 17)-methylstearate (a19:0 or i19:0)	3083779	
CPD0307	2-hydroxyphytanate*	189026	
CPD0308	cis-3,4-methyleneheptanoate		
CPD0309	pristanate	123929	
CPD0310	2-hydroxyglutarate	43	C02630
CPD0311	2-hydroxysebacate	128458	
CPD0312	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	194501	
CPD0313	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	123979	
CPD0314	3-hydroxyadipate	151913	
CPD0315	3-hydroxydodecanedioate*	16663321	
CPD0316	4-hydroxy-2-oxoglutaric acid	599	C01127
CPD0317	adipate	196	C06104
CPD0318	azelate (C9-DC)	2266	C08261
CPD0319	branched chain 14:0 dicarboxylic acid		
CPD0320	decadienedioic acid (C10:2-DC)	17789717	
CPD0321	docosadioate (C22-DC)	7641	C14240
CPD0322	dodecadienoate (12:2)*	25480	
CPD0323	dodecanedioate (C12)	12736	C02678
CPD0324	dodecenedioate (C12:1-DC)*	5283028	
CPD0325	eicosanedioate (C20-DC)	75502	
CPD0326	eicosenedioate (C20:1-DC)*		
CPD0327	glutarate (C5-DC)	743;4418048	C00489
CPD0328	heptenedioate (C7:1-DC)*		
CPD0329	hexadecanedioate (C16)	10459	C19615
CPD0330	hexadecenedioate (C16:1-DC)*		
CPD0331	hydroxy-CMPF*		
CPD0332	maleate	444266	C01384
CPD0333	octadecadienedioate (C18:2-DC)*		
CPD0334	octadecanedioate (C18)	70095	
CPD0335	octadecenedioate (C18:1-DC)	9543674	
CPD0336	sebacate (C10-DC)	5192	C08277
CPD0337	suberate (C8-DC)	10457	C08278
CPD0338	tetradecadienedioate (C14:2-DC)*	86018718	
CPD0339	tetradecanedioate (C14)	13185	
CPD0340	tridecenedioate (C13:1-DC)*		
CPD0341	undecanedioate (C11-DC)	15816	
CPD0342	12,13-DiHOME	10236635	C14829
CPD0343	2R,3R-dihydroxybutyrate	13120901	
CPD0344	2S,3R-dihydroxybutyrate	10964471	
CPD0345	3,4-dihydroxybutyrate	150929	
CPD0346	9,10-DiHOME	9966640	C14828
CPD0347	13-HODE + 9-HODE	5312830;1424;5282947;5282944;5282945	C14767,C14762
CPD0348	16-hydroxypalmitate	10466	C18218
CPD0349	2-hydroxyarachidate*	5225199	
CPD0350	2-hydroxydecanoate	21488	
CPD0351	2-hydroxynervonate*	5312783	
CPD0352	2-hydroxyoctanoate	5312860;6995013;94180	
CPD0353	2-hydroxypalmitate	12575964;92836;11065598	
CPD0354	2-hydroxystearate	69417;439885;439887	C03045,C03042
CPD0355	3-hydroxyarachidate*	5282918	
CPD0356	3-hydroxydecanoate	26612	
CPD0357	3-hydroxyhexanoate	151492	
CPD0358	3-hydroxylaurate	94216	
CPD0359	3-hydroxymyristate	16064	
CPD0360	3-hydroxyoctanoate	26613	C20793
CPD0361	3-hydroxysebacate	3017884	
CPD0362	3-hydroxystearate	5282907	
CPD0363	5-hydroxyhexanoate	170748	
CPD0364	9-hydroxystearate	9570127	
CPD0365	alpha-hydroxycaproate	99824	
CPD0366	Fibrinopeptide A (2-15)	25078015	
CPD0367	Fibrinopeptide A (3-16)	25078015	
CPD0368	ADSGEGDFXAEGGGVR*	25081464	
CPD0369	DSGEGDFXAEGGGVR*	132993922	
CPD0370	ADpSGEGDFXAEGGGVR*	132993923	
CPD0371	Fibrinopeptide B (1-13)		
CPD0372	(15:0)-anacardic acid	167551	C10759
CPD0373	(15:2)-anacardic acid	11824131	
CPD0374	(15:3)-anacardic acid	9875131	
CPD0375	2,3-dihydroxyisovalerate	677	C04039
CPD0376	2,3-dihydroxypyridine	28115	
CPD0377	2-acetamidophenol sulfate	181671	
CPD0378	2-aminophenol sulfate	181670	
CPD0379	2-isopropylmalate	77	C02504
CPD0380	2-keto-3-deoxy-gluconate	161227	C00204
CPD0381	2-piperidinone	12665	
CPD0382	3-ethylcatechol sulfate (1)		
CPD0383	3-formylindole	10256	C08493
CPD0384	3-hydroxystachydrine*	46173781	C10151
CPD0385	3-indoleglyoxylic acid	73863	
CPD0386	4-acetylcatechol sulfate (1)		
CPD0387	4-acetylcatechol sulfate (2)		
CPD0388	4-allylphenol sulfate	66633409	
CPD0389	4-vinylguaiacol sulfate	53803570	
CPD0390	acesulfame	36573	
CPD0391	alliin	87310	C08265
CPD0392	betonicine	164642	C08269
CPD0393	caffeic acid sulfate	21668705	
CPD0394	cinnamoylglycine	709625	
CPD0395	daidzein	5281708	C10208
CPD0396	daidzein sulfate (2)	12114465	
CPD0397	dihydrocaffeate sulfate (2)		
CPD0398	dihydroferulate	14340	
CPD0399	dihydroferulic acid sulfate	187489	
CPD0400	enterolactone sulfate		
CPD0401	ergothioneine	5351619	C05570
CPD0402	erythritol	222285	C00503
CPD0403	ethyl alpha-glucopyranoside	11127487	
CPD0404	ethyl beta-glucopyranoside	121667	
CPD0405	eugenol sulfate	180632	
CPD0406	ferulic acid 4-sulfate	6305574	
CPD0407	feruloylquinate (4)		
CPD0408	furaneol sulfate	59815364	
CPD0409	genistein sulfate*		
CPD0410	ginkgolic acid C15:1	5281858	C10794
CPD0411	glucoheptose	76599	
CPD0412	gluconate	3085666;10690	C00257
CPD0413	glucuronide of piperine metabolite C17H21NO3 (3)*		
CPD0414	glucuronide of piperine metabolite C17H21NO3 (4)*		
CPD0415	glucuronide of piperine metabolite C17H21NO3 (5)*		
CPD0416	glycyrrhetinate	6857363	C02283
CPD0417	histidine betaine (hercynine)*	3083620	
CPD0418	homostachydrine*	441447	C08283
CPD0419	indolin-2-one	321710	C12312
CPD0420	isoeugenol sulfate	122198202	
CPD0421	levulinoylcarnitine		
CPD0422	maltol sulfate		
CPD0423	mannonate*	3246006	
CPD0424	methyl glucopyranoside (alpha + beta)	445238;3036743;2108	
CPD0425	N-(2-furoyl)glycine	21863	
CPD0426	N-acetylalliin		
CPD0427	N-acetyltheanine		
CPD0428	N-oxalyl glycine (NOG)	3080614	
CPD0429	phytanate	26840	C01607
CPD0430	piperine	638024	C03882
CPD0431	pyrraline	14274616	C21013
CPD0432	quinate	6508	C00296
CPD0433	S-allylcysteine	98280	
CPD0434	saccharin	5143	C12283
CPD0435	solanidine	65727	C06543
CPD0436	stachydrine	115244	C10172
CPD0437	sulfate of piperine metabolite C16H19NO3 (2)*		
CPD0438	sulfate of piperine metabolite C16H19NO3 (3)*		
CPD0439	sulfate of piperine metabolite C18H21NO3 (3)*		
CPD0440	tartarate	444305;875	C00552,C00898,C02107
CPD0441	tartronate (hydroxymalonate)	45	C02287
CPD0442	theanine	439378	C01047
CPD0443	thymol sulfate	12456386	C09908
CPD0444	umbelliferone sulfate	129659	
CPD0445	vanillic acid glycine	3083688	
CPD0446	fructose	2723872	C00095
CPD0447	galactonate	12310779;128869	C15930,C00880
CPD0448	mannitol/sorbitol	6251;5780	C00392,C00794
CPD0449	mannose	185698;82308;18950;439680	C00159,C02209,C00936
CPD0450	gamma-glutamyl-2-aminobutyrate		
CPD0451	gamma-glutamyl-alpha-lysine	65254	
CPD0452	gamma-glutamyl-epsilon-lysine	7015685	
CPD0453	gamma-glutamylalanine	440103	C03738
CPD0454	gamma-glutamylcitrulline*		
CPD0455	gamma-glutamylglutamate	92865	C05282
CPD0456	gamma-glutamylglutamine	150914	C05283
CPD0457	gamma-glutamylglycine	100099	
CPD0458	gamma-glutamylhistidine	7017195	
CPD0459	gamma-glutamylisoleucine*	22885096	
CPD0460	gamma-glutamylleucine	151023	
