compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00001	(15:0)-anacardic acid	C10759	167551
CPD00002	(15:2)-anacardic acid	NA	11824131
CPD00003	1,2,3-benzenetriol sulfate (1)	NA	NA
CPD00004	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00005	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075
CPD00006	1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812
CPD00007	1,2-dipalmitoyl-GPC (16:0/16:0)	D03585	452110
CPD00008	1,2-dipalmitoyl-GPE (16:0/16:0)*	NA	445468
CPD00009	1,3,7-trimethylurate	C16361	79437
CPD00010	1,3-dimethylurate	NA	70346
CPD00011	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00012	1,7-dimethylurate	C16356	91611
CPD00013	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
CPD00014	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
CPD00015	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	NA
CPD00016	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	NA
CPD00017	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	NA
CPD00018	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	NA
CPD00019	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	NA
CPD00020	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	NA
CPD00021	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967
CPD00022	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802
CPD00023	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
CPD00024	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058
CPD00025	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
CPD00026	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	NA
CPD00027	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
CPD00028	1-arachidonoyl-GPA (20:4)	NA	NA
CPD00029	1-arachidonoyl-GPC (20:4n6)*	C05208	NA
CPD00030	1-arachidonoyl-GPE (20:4n6)*	NA	42607465
CPD00031	1-arachidonoyl-GPI (20:4)*	NA	NA
CPD00032	1-arachidonylglycerol (20:4)	C13857	5282281
CPD00033	1-dihomo-linolenylglycerol (20:3)	NA	NA
CPD00034	1-docosahexaenoylglycerol (22:6)	NA	NA
CPD00035	1-hydroxy-2-naphthalenecarboxylate	C03203	6844
CPD00036	1-lignoceroyl-GPC (24:0)	NA	NA
CPD00037	1-linolenoyl-GPC (18:3)*	NA	NA
CPD00038	1-linolenoylglycerol (18:3)	NA	53480978
CPD00039	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	NA	NA
CPD00040	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	NA
CPD00041	1-linoleoyl-GPA (18:2)*	NA	NA
CPD00042	1-linoleoyl-GPC (18:2)	C04100	11988421
CPD00043	1-linoleoyl-GPE (18:2)*	NA	52925130
CPD00044	1-linoleoyl-GPG (18:2)*	NA	NA
CPD00045	1-linoleoyl-GPI (18:2)*	NA	NA
CPD00046	1-linoleoylglycerol (18:2)	NA	5283469
CPD00047	1-margaroylglycerol (17:0)	NA	107036
CPD00048	1-methylguanidine	C02294	10111
CPD00049	1-methylguanine	NA	70315
CPD00050	1-methylhistamine	C05127	3614
CPD00051	1-methylhistidine	C01152	92105
CPD00052	1-methylimidazoleacetate	C05828	75810
CPD00053	1-methylnicotinamide	C02918	10129985
CPD00054	1-methylurate	C16359	69726
CPD00055	1-methylxanthine	C16358	80220
CPD00056	1-myristoylglycerol (14:0)	C01885	79050
CPD00057	1-oleoyl-GPA (18:1)	NA	5497152
CPD00058	1-oleoyl-GPC (18:1)	NA	16081932
CPD00059	1-oleoyl-GPE (18:1)	NA	9547071
CPD00060	1-oleoyl-GPG (18:1)*	NA	NA
CPD00061	1-oleoyl-GPI (18:1)*	NA	NA
CPD00062	1-oleoylglycerol (18:1)	NA	5283468
CPD00063	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	NA	NA
CPD00064	1-palmitoleoyl-GPC (16:1)*	NA	24779461
CPD00065	1-palmitoleoylglycerol (16:1)*	NA	NA
CPD00066	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	NA	10747814
CPD00067	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	NA	9546800
CPD00068	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	NA	NA
CPD00069	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	NA	5287971
CPD00070	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	NA	9546747
CPD00071	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	NA	NA
CPD00072	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	NA	6436017
CPD00073	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	NA	5283496
CPD00074	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	NA	NA
CPD00075	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	NA	NA
CPD00076	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	NA	NA
CPD00077	1-palmitoyl-GPA (16:0)	C04036	6419701
CPD00078	1-palmitoyl-GPC (16:0)	NA	86554
CPD00079	1-palmitoyl-GPE (16:0)	NA	9547069
CPD00080	1-palmitoyl-GPG (16:0)*	NA	3300276
CPD00081	1-palmitoyl-GPI (16:0)	NA	NA
CPD00082	1-palmitoylglycerol (16:0)	NA	14900
CPD00083	1-pentadecanoylglycerol (15:0)	NA	190750
CPD00084	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	NA	16219824
CPD00085	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	NA	5289133
CPD00086	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	NA	NA
CPD00087	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	NA	NA
CPD00088	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	NA	9546749
CPD00089	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	NA	NA
CPD00090	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	NA	NA
CPD00091	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	NA	NA
CPD00092	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	NA	NA
CPD00093	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	NA	9547087
CPD00094	1-stearoyl-GPC (18:0)	NA	497299
CPD00095	1-stearoyl-GPE (18:0)	NA	9547068
CPD00096	1-stearoyl-GPI (18:0)	NA	NA
CPD00097	10-heptadecenoate (17:1n7)	NA	5312435
CPD00098	10-nonadecenoate (19:1n9)	NA	5312513
CPD00099	10-undecenoate (11:1n1)	C13910	14891
CPD00100	11-ketoetiocholanolone glucuronide	NA	NA
