compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0001	(14 or 15)-methylpalmitate (a17:0 or i17:0)	C16995	8181;17903417
CPD0002	(15:2)-anacardic acid	NA	11824131
CPD0003	(15:3)-anacardic acid	NA	9875131
CPD0004	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	3083779
CPD0005	(2 or 3)-decenoate (10:1n7 or n8)	NA	NA
CPD0006	(2,4 or 2,5)-dimethylphenol sulfate	NA	NA
CPD0007	(N(1) + N(8))-acetylspermidine	C00612,C01029	123689;496
CPD0008	(R)-3-hydroxybutyrylcarnitine	NA	53481617
CPD0009	(S)-3-hydroxybutyrylcarnitine	NA	71464477
CPD0010	(S)-a-amino-omega-caprolactam	C02837	440599
CPD0011	1,2,3-benzenetriol sulfate (2)	NA	54110629;92013662
CPD0012	1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075
CPD0013	1,2-dilinoleoyl-GPE (18:2/18:2)*	NA	9546812
CPD0014	1,2-dipalmitoyl-GPC (16:0/16:0)	D03585	452110
CPD0015	1,2-dipalmitoyl-GPE (16:0/16:0)*	NA	445468
CPD0016	1,3,7-trimethylurate	C16361	79437
CPD0017	1,3-dimethylurate	NA	70346
CPD0018	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD0019	1,7-dimethylurate	C16356	91611
CPD0020	1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA
CPD0021	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA
CPD0022	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	52925126
CPD0023	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	24779386
CPD0024	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	52925127
CPD0025	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	34779384
CPD0026	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	52925128
CPD0027	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	52923882
CPD0028	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967
CPD0029	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802
CPD0030	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA
CPD0031	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058
CPD0032	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA
CPD0033	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	42607457
CPD0034	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA
CPD0035	1-arachidonoyl-GPC* (20:4)*	C05208	24779476
CPD0036	1-arachidonoyl-GPE (20:4n6)*	NA	42607465
CPD0037	1-arachidonoyl-GPI* (20:4)*	NA	121596217
CPD0038	1-arachidonylglycerol (20:4)	C13857	16019980;5282281
CPD0039	1-carboxyethylisoleucine	NA	NA
CPD0040	1-carboxyethylleucine	NA	NA
CPD0041	1-carboxyethylphenylalanine	NA	59100900
CPD0042	1-carboxyethyltyrosine	NA	NA
CPD0043	1-carboxyethylvaline	NA	NA
CPD0044	1-dihomo-linolenylglycerol (20:3)	NA	NA
CPD0045	1-dihomo-linoleoylglycerol (20:2)	NA	NA
CPD0046	1-docosahexaenoylglycerol (22:6)	NA	53480995
CPD0047	1-heptadecenoylglycerol (17:1)*	NA	NA
CPD0048	1-hydroxy-2-naphthalenecarboxylate	C03203	54675865
CPD0049	1-lignoceroyl-GPC (24:0)	NA	24779481
CPD0050	1-linolenoyl-GPC (18:3)*	C04100	NA
CPD0051	1-linolenoylglycerol (18:3)	NA	53480978
CPD0052	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	52922731
CPD0053	1-linoleoyl-GPC (18:2)	C04100	11988421
CPD0054	1-linoleoyl-GPE (18:2)*	NA	52925130
CPD0055	1-linoleoyl-GPG (18:2)*	NA	NA
CPD0056	1-linoleoyl-GPI* (18:2)*	NA	11124828
CPD0057	1-linoleoylglycerol (18:2)	NA	5283469
