BIOCHEMICAL	KEGG	PUBCHEM	compound_id
(14 or 15)-methylpalmitate (a17:0 or i17:0)			C000001
(16 or 17)-methylstearate (a19:0 or i19:0)		3083779	C000002
(2 or 3)-decenoate (10:1n7 or n8)			C000003
(2,4 or 2,5)-dimethylphenol sulfate			C000004
(2-butoxyethoxy)acetic acid		106312	C000005
(R)-3-hydroxybutyrylcarnitine		53481617	C000006
(S)-3-hydroxybutyrylcarnitine			C000007
(S)-a-amino-omega-caprolactam	C05328	439823	C000008
1,2,3-benzenetriol sulfate (2)			C000009
1,2-dilinoleoyl-GPC (18:2/18:2)		5288075	C000010
1,2-dipalmitoyl-GPC (16:0/16:0)		452110	C000011
1,3,7-trimethylurate	C16361	79437	C000012
1,3-dimethylurate		70346	C000013
1,5-anhydroglucitol (1,5-AG)	C07326	64960	C000014
1,6-anhydroglucose		2724705	C000015
1,7-dimethylurate	C16356	91611	C000016
1-(1-enyl-oleoyl)-GPE (P-18:1)*			C000017
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*			C000018
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*			C000019
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*			C000020
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*			C000021
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*			C000022
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*			C000023
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*			C000024
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*		11146967	C000025
1-(1-enyl-palmitoyl)-GPC (P-16:0)*		10917802	C000026
1-(1-enyl-palmitoyl)-GPE (P-16:0)*			C000027
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*		9547058	C000028
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*			C000029
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)			C000030
1-(1-enyl-stearoyl)-GPE (P-18:0)*			C000031
1-arachidonoyl-GPC* (20:4)*	C05208		C000032
1-arachidonoyl-GPE (20:4n6)*		42607465	C000033
1-arachidonoyl-GPI* (20:4)*			C000034
1-arachidonylglycerol (20:4)	C13857	5282281	C000035
1-carboxyethylisoleucine			C000036
1-carboxyethylleucine			C000037
1-carboxyethylphenylalanine			C000038
1-carboxyethyltyrosine			C000039
1-carboxyethylvaline			C000040
1-cerotoyl-GPC (26:0)*			C000041
1-hydroxy-2-naphthalenecarboxylate	C03203	6844	C000042
1-lignoceroyl-GPC (24:0)			C000043
1-linolenoyl-GPC (18:3)*			C000044
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*			C000045
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*			C000046
1-linoleoyl-GPC (18:2)	C04100	11988421	C000047
1-linoleoyl-GPE (18:2)*		52925130	C000048
1-linoleoyl-GPG (18:2)*			C000049
1-linoleoyl-GPI* (18:2)*			C000050
1-linoleoylglycerol (18:2)		5283469	C000051
1-methyl-4-imidazoleacetate	C05828	75810	C000052
1-methyl-5-imidazoleacetate		6451814	C000053
1-methyladenosine	C02494	27476	C000054
1-methylguanidine	C02294	10111	C000055
1-methylguanosine		96373	C000056
1-methylhistidine	C01152	92105	C000057
1-methylnicotinamide	C02918	457	C000058
1-methylurate	C16359	69726	C000059
1-methylxanthine	C16358	80220	C000060
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*			C000061
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)		129657	C000062
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*			C000063
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*			C000064
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*			C000065
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*		9546753	C000066
1-oleoyl-GPC (18:1)		16081932	C000067
1-oleoyl-GPE (18:1)		9547071	C000068
1-oleoyl-GPG (18:1)*			C000069
1-oleoyl-GPI (18:1)			C000070
1-oleoylglycerol (18:1)		5283468	C000071
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*			C000072
1-palmitoleoyl-GPC* (16:1)*		24779461	C000073
1-palmitoleoylglycerol (16:1)*			C000074
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)		10747814	C000075
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*		9546800	C000076
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*			C000077
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)		6441886	C000078
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*		9546799	C000079
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)		5287971	C000080
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)		9546747	C000081
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)			C000082
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)		6436017	C000083
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)		5283496	C000084
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*			C000085
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*			C000086
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)			C000087
1-palmitoyl-GPC (16:0)		86554	C000088
1-palmitoyl-GPE (16:0)		9547069	C000089
1-palmitoyl-GPG (16:0)*		3300276	C000090
1-palmitoyl-GPI* (16:0)			C000091
1-ribosyl-imidazoleacetate*	C05131	5117448	C000092
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)		16219824	C000093
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)		5289133	C000094
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)			C000095
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)			C000096
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)			C000097
