BIOCHEMICAL	KEGG	PUBCHEM	compound_id
(14 or 15)-methylpalmitate (a17:0 or i17:0)	C16995	8181,17903417	C000001
(16 or 17)-methylstearate (a19:0 or i19:0)	NA	3083779	C000002
(2 or 3)-decenoate (10:1n7 or n8)	NA	NA	C000003
(2,4 or 2,5)-dimethylphenol sulfate	NA	NA	C000004
(2-butoxyethoxy)acetic acid	NA	106312	C000005
(R)-3-hydroxybutyrylcarnitine	NA	53481617	C000006
(S)-3-hydroxybutyrylcarnitine	NA	71464477	C000007
(S)-a-amino-omega-caprolactam	C02837	440599	C000008
1,2,3-benzenetriol sulfate (2)	NA	92013662,54110629	C000009
1,2-dilinoleoyl-GPC (18:2/18:2)	NA	5288075	C000010
1,2-dipalmitoyl-GPC (16:0/16:0)	D03585	452110	C000011
1,3,7-trimethylurate	C16361	79437	C000012
1,3-dimethylurate	NA	70346	C000013
1,5-anhydroglucitol (1,5-AG)	C07326	64960	C000014
1,6-anhydroglucose	NA	2724705	C000015
1,7-dimethylurate	C16356	91611	C000016
1-(1-enyl-oleoyl)-GPE (P-18:1)*	NA	NA	C000017
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	NA	NA	C000018
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	NA	52925126	C000019
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	NA	24779386	C000020
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	NA	52925127	C000021
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	NA	34779384	C000022
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	NA	52925128	C000023
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	NA	52923882	C000024
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	NA	11146967	C000025
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	NA	10917802	C000026
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	NA	NA	C000027
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	NA	9547058	C000028
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	NA	NA	C000029
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	NA	42607457	C000030
1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA	C000031
1-arachidonoyl-GPC (20:4n6)*	C05208	24779476	C000032
1-arachidonoyl-GPE (20:4n6)*	NA	42607465	C000033
1-arachidonoyl-GPI (20:4)*	NA	121596217	C000034
1-arachidonylglycerol (20:4)	C13857	16019980,5282281	C000035
1-carboxyethylisoleucine	NA	NA	C000036
1-carboxyethylleucine	NA	NA	C000037
1-carboxyethylphenylalanine	NA	59100900	C000038
1-carboxyethyltyrosine	NA	NA	C000039
1-carboxyethylvaline	NA	NA	C000040
1-cerotoyl-GPC (26:0)*	NA	NA	C000041
1-hydroxy-2-naphthalenecarboxylate	C03203	54675865	C000042
1-lignoceroyl-GPC (24:0)	NA	24779481	C000043
1-linolenoyl-GPC (18:3)*	C04100	NA	C000044
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	C05208	24778979	C000045
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	NA	52922731	C000046
1-linoleoyl-GPC (18:2)	C04100	11988421	C000047
