compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD00261	(12 or 13)-methylmyristate (a15:0 or i15:0)	NA	151014
CPD00262	(14 or 15)-methylpalmitate (a17:0 or i17:0)	NA	17903417
CPD00263	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	3083779
CPD00699	(2,4 or 2,5)-dimethylphenol sulfate	NA	NA
CPD00001	(N(1) + N(8))-acetylspermidine	NA	NA
CPD00264	(R)-3-hydroxybutyrylcarnitine	NA	53481617
CPD00265	(S)-3-hydroxybutyrylcarnitine	NA	NA
CPD00612	1,2,3-benzenetriol sulfate (2)	NA	NA
CPD00754	1,3,7-trimethylurate	C16361	79437
CPD00755	1,3-dimethylurate	NA	70346
CPD00197	1,5-anhydroglucitol (1,5-AG)	C07326	64960
CPD00756	1,7-dimethylurate	C16356	91611
CPD00266	1-arachidonoyl-GPA (20:4)	NA	NA
CPD00002	1-carboxyethylisoleucine	NA	NA
CPD00003	1-carboxyethylleucine	NA	NA
CPD00004	1-carboxyethylphenylalanine	NA	NA
CPD00005	1-carboxyethylvaline	NA	NA
CPD00267	1-linoleoyl-GPA (18:2)*	NA	NA
CPD00268	1-linoleoyl-GPG (18:2)*	NA	NA
CPD00006	1-methyl-4-imidazoleacetate	C05828	75810
CPD00007	1-methyl-5-imidazoleacetate	NA	6451814
CPD00008	1-methylhistidine	C01152	92105
CPD00222	1-methylnicotinamide	C02918	10129985
CPD00757	1-methylurate	C16359	69726
CPD00758	1-methylxanthine	C16358	80220
CPD00269	1-oleoyl-GPG (18:1)*	NA	NA
CPD00270	1-palmitoyl-GPA (16:0)	C04036	6419701
CPD00271	1-palmitoyl-GPG (16:0)*	NA	3300276
CPD00009	1-ribosyl-imidazoleacetate*	C05131	5117448
CPD00272	1-stearoyl-2-oleoyl-GPG (18:0/18:1)	NA	NA
CPD00273	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	NA	9547087
CPD00274	10-heptadecenoate (17:1n7)	NA	5312435
CPD00657	10-hydroxywarfarin	NA	NA
CPD00275	10-nonadecenoate (19:1n9)	NA	5312513
CPD00276	10-undecenoate (11:1n1)	C13910	14891
CPD00277	12,13-DiHOME	C14829	10236635
CPD00278	13-HODE + 9-HODE	NA	43013
CPD00279	16-hydroxypalmitate	C18218	10466
CPD00280	16a-hydroxy DHEA 3-sulfate	NA	NA
CPD00588	1H-indole-7-acetic acid	NA	NA
CPD00521	2'-O-methylcytidine	NA	150971
CPD00522	2'-O-methyluridine	NA	102212
CPD00520	2'-deoxyuridine	C00526	13712
CPD00613	2,2'-Methylenebis(6-tert-butyl-p-cresol)	NA	8398
CPD00010	2,3-dihydroxy-2-methylbutyrate	NA	301941
CPD00011	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	NA	NA
CPD00700	2,3-dihydroxyisovalerate	C04039	677
CPD00281	2,4-dihydroxybutyrate	NA	192742
CPD00696	2,6-dihydroxybenzoic acid	NA	9338
CPD00012	2-aminoadipate	C00956	469
CPD00013	2-aminobutyrate	C02261	439691
CPD00282	2-aminoheptanoate	NA	227939
CPD00283	2-aminooctanoate	NA	69522
CPD00614	2-aminophenol sulfate	NA	181670
CPD00014	2-hydroxy-3-methylvalerate	NA	164623
CPD00635	2-hydroxyacetaminophen sulfate*	NA	86290013
CPD00284	2-hydroxyarachidate*	NA	5225199
CPD00285	2-hydroxybehenate	NA	193484
CPD00015	2-hydroxybutyrate/2-hydroxyisobutyrate	NA	NA
CPD00286	2-hydroxydecanoate	NA	21488
CPD00287	2-hydroxyglutarate	C02630	43
CPD00591	2-hydroxyhippurate (salicylurate)	C07588	10253
CPD00636	2-hydroxyibuprofen	NA	10443535
CPD00288	2-hydroxylaurate	NA	97783
CPD00289	2-hydroxynervonate*	NA	5312783
CPD00290	2-hydroxyoctanoate	NA	94180
CPD00291	2-hydroxypalmitate	NA	92836
CPD00016	2-hydroxyphenylacetate	C05852	11970
CPD00292	2-hydroxyphytanate*	NA	189026
CPD00293	2-hydroxystearate	C03045	69417
CPD00701	2-isopropylmalate	C02504	77
CPD00702	2-keto-3-deoxy-gluconate	C00204	161227
CPD00017	2-ketocaprylate	NA	67600
CPD00637	2-methoxyacetaminophen glucuronide*	NA	14367271
CPD00638	2-methoxyacetaminophen sulfate*	NA	86290014
CPD00615	2-methoxyresorcinol sulfate	NA	NA
CPD00018	2-methylbutyrylcarnitine (C5)	NA	6426901
CPD00019	2-methylbutyrylglycine	NA	193872
CPD00294	2-methylmalonylcarnitine (C4-DC)	NA	53481628
CPD00020	2-methylserine	C02115	94309
CPD00021	2-oxoarginine*	C03771	558
CPD00703	2-piperidinone	NA	12665
CPD00022	2-pyrrolidinone	NA	12025
CPD00295	21-hydroxypregnenolone disulfate	NA	134595
CPD00296	2R,3R-dihydroxybutyrate	NA	NA
CPD00297	2S,3R-dihydroxybutyrate	NA	10964471
CPD00298	3,4-dihydroxybutyrate	NA	NA
CPD00704	3,4-methyleneheptanoate	NA	NA
CPD00759	3,7-dimethylurate	C16360	83126
CPD00592	3-(3-hydroxyphenyl)propionate	C11457	91
CPD00023	3-(4-hydroxyphenyl)lactate	C03672	9378
CPD00641	3-(N-acetyl-L-cystein-S-yl) acetaminophen	NA	83967
CPD00639	3-(cystein-S-yl)acetaminophen*	NA	5233914
CPD00640	3-(methylthio)acetaminophen sulfate*	NA	NA
CPD00616	3-acetylphenol sulfate	NA	NA
CPD00024	3-amino-2-piperidone	NA	5200225
CPD00523	3-aminoisobutyrate	C05145	64956
CPD00299	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**	NA	194501
CPD00300	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	NA	123979
CPD00705	3-ethylcatechol sulfate (1)	NA	NA
CPD00706	3-formylindole	C08493	10256
CPD00025	3-hydroxy-2-ethylpropionate	NA	188979
CPD00301	3-hydroxy-3-methylglutarate	C03761	1662
CPD00302	3-hydroxyadipate*	NA	151913
CPD00303	3-hydroxybutyrate (BHBA)	C01089	441
CPD00304	3-hydroxybutyroylglycine**	NA	NA
CPD00748	3-hydroxycotinine glucuronide	NA	183115
CPD00305	3-hydroxydecanoate	NA	26612
CPD00306	3-hydroxyhexanoate	NA	151492
CPD00307	3-hydroxyhexanoylcarnitine (1)	NA	NA
CPD00593	3-hydroxyhippurate	NA	450268
CPD00026	3-hydroxyisobutyrate	C06001	87
CPD00308	3-hydroxylaurate	NA	94216
CPD00309	3-hydroxymyristate	NA	16064
CPD00310	3-hydroxyoctanoate	NA	26613
CPD00311	3-hydroxyoleate*	NA	NA
CPD00312	3-hydroxyoleoylcarnitine	NA	NA
CPD00617	3-hydroxypyridine sulfate	NA	NA
CPD00655	3-hydroxyquinine	C07344	441264
CPD00313	3-hydroxysebacate	NA	3017884
CPD00707	3-hydroxystachydrine*	NA	442640
CPD00027	3-indoxyl sulfate	NA	10258
CPD00594	3-methoxycatechol sulfate (1)	NA	NA
CPD00028	3-methoxytyrosine	NA	1670
CPD00595	3-methyl catechol sulfate (1)	NA	NA
CPD00596	3-methyl catechol sulfate (2)	NA	NA
CPD00029	3-methyl-2-oxobutyrate	C00141	49
CPD00030	3-methyl-2-oxovalerate	C00671	47
CPD00524	3-methylcytidine	NA	159649
CPD00031	3-methylglutaconate	NA	1551553
CPD00314	3-methylglutarate/2-methylglutarate	NA	NA
CPD00032	3-methylglutarylcarnitine (2)	NA	128145
CPD00033	3-methylhistidine	C01152	64969
CPD00760	3-methylxanthine	C16357	70639
CPD00597	3-phenylpropionate (hydrocinnamate)	C05629	107
CPD00198	3-phosphoglycerate	C00597	724
CPD00034	3-sulfo-L-alanine	C00506	72886
CPD00525	3-ureidopropionate	C02642	111
CPD00315	3b-hydroxy-5-cholenoic acid	NA	92997
CPD00316	3beta-hydroxy-5-cholestenoate	C17333	165511
CPD00035	4-acetamidobutanoate	C02946	18189
CPD00642	4-acetamidophenol	C06804	1983
CPD00643	4-acetamidophenylglucuronide	NA	83944
CPD00644	4-acetaminophen sulfate	C06804	83939
CPD00708	4-allylphenol sulfate	NA	NA
CPD00317	4-cholesten-3-one	C00599	91477
CPD00598	4-ethylcatechol sulfate	NA	NA
CPD00599	4-ethylphenylsulfate	C13637	NA
CPD00036	4-guanidinobutanoate	C01035	500
CPD00680	4-hydroxy duloxetine glucuronide*	NA	NA
CPD00318	4-hydroxy-2-oxoglutaric acid	C01127	599
CPD00618	4-hydroxychlorothalonil	NA	34217
CPD00658	4-hydroxycoumarin	C20414	54682930
CPD00037	4-hydroxyglutamate	C03079	439902
CPD00600	4-hydroxyhippurate	NA	151012
CPD00038	4-hydroxyphenylacetate	C00642	127
CPD00555	4-hydroxyphenylacetylglutamine	NA	NA
CPD00039	4-hydroxyphenylpyruvate	C01179	979
CPD00040	4-imidazoleacetate	C02835	96215
CPD00041	4-methoxyphenol sulfate	NA	NA
CPD00042	4-methyl-2-oxopentanoate	C00233	70
CPD00619	4-methylbenzenesulfonate	C06677	6101
CPD00601	4-methylcatechol sulfate	NA	NA
CPD00602	4-methylguaiacol sulfate	NA	NA
CPD00709	4-vinylguaiacol sulfate	NA	NA
CPD00603	4-vinylphenol sulfate	C05627	6426766
CPD00526	5,6-dihydrothymine	C00906	93556
CPD00527	5,6-dihydrouracil	C00429	649
CPD00528	5,6-dihydrouridine	NA	94312
CPD00043	5-(galactosylhydroxy)-L-lysine	NA	NA
CPD00761	5-acetylamino-6-amino-3-methyluracil	C16366	88299
CPD00762	5-acetylamino-6-formylamino-3-methyluracil	C16365	108214
CPD00319	5-dodecenoate (12:1n7)	NA	5312378
CPD00320	5-dodecenoylcarnitine (C12:1)	NA	NA
CPD00681	5-hydroxy-6-methoxy duloxetine sulfate*	NA	NA
CPD00321	5-hydroxyhexanoate	NA	170748
CPD00044	5-hydroxyindole sulfate	NA	NA
CPD00045	5-hydroxylysine	C16741	1029
CPD00046	5-methylthioadenosine (MTA)	C00170	439176
CPD00047	5-methylthioribose**	NA	494
CPD00529	5-methyluridine (ribothymidine)	NA	445408
CPD00048	5-oxoproline	C01879	7405
CPD00322	5alpha-androstan-3alpha,17alpha-diol monosulfate	NA	NA
CPD00323	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	NA	NA
CPD00324	5alpha-androstan-3beta,17alpha-diol disulfate	NA	NA
CPD00325	5alpha-androstan-3beta,17beta-diol disulfate	C12525	242332
CPD00326	5alpha-androstan-3beta,17beta-diol monosulfate (1)	NA	NA
CPD00327	5alpha-pregnan-3beta,20alpha-diol disulfate	NA	NA
CPD00328	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	NA	NA
CPD00329	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	NA	NA
CPD00330	5alpha-pregnan-diol disulfate	NA	5127902
CPD00049	6-bromotryptophan	NA	NA
CPD00620	6-hydroxyindole sulfate	NA	NA
CPD00050	6-oxopiperidine-2-carboxylate	NA	3014237
CPD00331	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	C17337	3081085
CPD00332	7-dehydrocholesterol	C01164	439423
CPD00659	7-hydroxywarfarin	NA	NA
CPD00333	7-ketodeoxycholate	NA	188292
CPD00530	7-methylguanine	C02242	11361
CPD00763	7-methylurate	C16355	69160
CPD00764	7-methylxanthine	C16353	68374
CPD00051	8-methoxykynurenate	C05830	76230
CPD00334	9,10-DiHOME	C14828	9966640
CPD00335	9-hydroxystearate	NA	9570127
CPD00065	C-glycosyltryptophan	NA	10981970
CPD00769	CE(12:0)	NA	NA
CPD00770	CE(14:0)	NA	NA
CPD00771	CE(14:1)	NA	NA
CPD00772	CE(15:0)	NA	NA
CPD00773	CE(16:0)	NA	NA
CPD00774	CE(16:1)	NA	NA
CPD00775	CE(17:0)	NA	NA
CPD00776	CE(18:0)	NA	NA
CPD00777	CE(18:1)	NA	NA
CPD00778	CE(18:2)	NA	NA
CPD00779	CE(18:3)	NA	NA
CPD00780	CE(18:4)	NA	NA
CPD00781	CE(20:0)	NA	NA
CPD00782	CE(20:1)	NA	NA
CPD00783	CE(20:2)	NA	NA
CPD00784	CE(20:3)	NA	NA
CPD00785	CE(20:4)	NA	NA
CPD00786	CE(20:5)	NA	NA
CPD00787	CE(22:0)	NA	NA
CPD00788	CE(22:1)	NA	NA
CPD00789	CE(22:2)	NA	NA
CPD00790	CE(22:4)	NA	NA
CPD00791	CE(22:5)	NA	NA
CPD00792	CE(22:6)	NA	NA
CPD00793	CE(24:0)	NA	NA
CPD00794	CE(24:1)	NA	NA
CPD00795	CER(14:0)	NA	NA
CPD00796	CER(16:0)	NA	NA
CPD00797	CER(18:0)	NA	NA
CPD00798	CER(18:1)	NA	NA
CPD00799	CER(20:0)	NA	NA
CPD00800	CER(20:1)	NA	NA
CPD00801	CER(22:0)	NA	NA
CPD00802	CER(22:1)	NA	NA
CPD00803	CER(24:0)	NA	NA
CPD00804	CER(24:1)	NA	NA
CPD00805	CER(26:0)	NA	NA
CPD00806	CER(26:1)	NA	NA
CPD00807	DAG(12:0/16:0)	NA	NA
CPD00808	DAG(12:0/18:0)	NA	NA
CPD00809	DAG(12:0/18:1)	NA	NA
CPD00810	DAG(12:0/18:2)	NA	NA
CPD00811	DAG(14:0/14:0)	NA	NA
CPD00812	DAG(14:0/16:0)	NA	NA
CPD00813	DAG(14:0/16:1)	NA	NA
CPD00814	DAG(14:0/18:1)	NA	NA
CPD00815	DAG(14:0/18:2)	NA	NA
CPD00816	DAG(14:0/18:3)	NA	NA
CPD00817	DAG(14:0/20:0)	NA	NA
CPD00818	DAG(14:0/20:4)	NA	NA
CPD00819	DAG(14:0/22:6)	NA	NA
CPD00820	DAG(14:1/16:0)	NA	NA
CPD00821	DAG(14:1/18:1)	NA	NA
CPD00822	DAG(15:0/18:1)	NA	NA
CPD00823	DAG(15:0/18:2)	NA	NA
CPD00824	DAG(16:0/16:0)	NA	NA
CPD00825	DAG(16:0/16:1)	NA	NA
CPD00826	DAG(16:0/18:0)	NA	NA
CPD00827	DAG(16:0/18:1)	NA	NA
CPD00828	DAG(16:0/18:2)	NA	NA
CPD00829	DAG(16:0/18:3)	NA	NA
CPD00830	DAG(16:0/20:3)	NA	NA
CPD00831	DAG(16:0/20:4)	NA	NA
CPD00832	DAG(16:0/20:5)	NA	NA
CPD00833	DAG(16:0/22:5)	NA	NA
CPD00834	DAG(16:0/22:6)	NA	NA
CPD00835	DAG(16:1/16:1)	NA	NA
CPD00836	DAG(16:1/18:0)	NA	NA
CPD00837	DAG(16:1/18:1)	NA	NA
CPD00838	DAG(16:1/18:2)	NA	NA
CPD00839	DAG(16:1/18:3)	NA	NA
CPD00840	DAG(16:1/20:0)	NA	NA
CPD00841	DAG(16:1/20:2)	NA	NA
CPD00842	DAG(16:1/20:4)	NA	NA
CPD00843	DAG(16:1/22:6)	NA	NA
CPD00844	DAG(18:0/18:1)	NA	NA
CPD00845	DAG(18:0/18:2)	NA	NA
CPD00846	DAG(18:0/18:3)	NA	NA
CPD00847	DAG(18:0/22:6)	NA	NA
CPD00848	DAG(18:1/18:1)	NA	NA
CPD00849	DAG(18:1/18:2)	NA	NA
CPD00850	DAG(18:1/20:1)	NA	NA
CPD00851	DAG(18:1/20:2)	NA	NA
CPD00852	DAG(18:1/20:3)	NA	NA
CPD00853	DAG(18:1/20:4)	NA	NA
CPD00854	DAG(18:1/20:5)	NA	NA
CPD00855	DAG(18:1/22:4)	NA	NA
CPD00856	DAG(18:1/22:5)	NA	NA
CPD00857	DAG(18:1/22:6)	NA	NA
CPD00858	DAG(18:2/18:3)	NA	NA
CPD00859	DAG(18:2/20:3)	NA	NA
CPD00860	DAG(18:2/20:4)	NA	NA
CPD00861	DAG(18:2/20:5)	NA	NA
CPD00862	DAG(18:2/22:4)	NA	NA
CPD00863	DAG(18:2/22:5)	NA	NA
CPD00864	DAG(18:2/22:6)	NA	NA
CPD00865	DCER(14:0)	NA	NA
CPD00866	DCER(16:0)	NA	NA
CPD00867	DCER(18:0)	NA	NA
CPD00868	DCER(18:1)	NA	NA
CPD00869	DCER(20:0)	NA	NA
CPD00870	DCER(20:1)	NA	NA
CPD00871	DCER(22:0)	NA	NA
CPD00872	DCER(22:1)	NA	NA
CPD00873	DCER(22:2)	NA	NA
CPD00874	DCER(24:0)	NA	NA
CPD00875	DCER(24:1)	NA	NA
CPD00876	DCER(26:0)	NA	NA
CPD00877	DCER(26:1)	NA	NA
CPD00625	EDTA	C00284	6049
CPD00878	FFA(12:0)	NA	NA
CPD00879	FFA(14:0)	NA	NA
CPD00880	FFA(14:1)	NA	NA
CPD00881	FFA(15:0)	NA	NA
CPD00882	FFA(16:0)	NA	NA
CPD00883	FFA(16:1)	NA	NA
CPD00884	FFA(17:0)	NA	NA
CPD00885	FFA(18:0)	NA	NA
CPD00886	FFA(18:1)	NA	NA
CPD00887	FFA(18:2)	NA	NA
CPD00888	FFA(18:4)	NA	NA
CPD00889	FFA(20:0)	NA	NA
CPD00890	FFA(20:1)	NA	NA
CPD00891	FFA(20:2)	NA	NA
CPD00892	FFA(20:3)	NA	NA
CPD00893	FFA(20:4)	NA	NA
CPD00894	FFA(20:5)	NA	NA
CPD00895	FFA(22:0)	NA	NA
CPD00896	FFA(22:1)	NA	NA
CPD00897	FFA(22:2)	NA	NA
CPD00898	FFA(22:4)	NA	NA
CPD00899	FFA(22:5)	NA	NA
CPD00900	FFA(22:6)	NA	NA
CPD00901	FFA(24:0)	NA	NA
CPD00902	FFA(24:1)	NA	NA
CPD00556	Fibrinopeptide A (2-15)**	NA	NA
CPD00557	Fibrinopeptide A (3-16)**	NA	NA
CPD00558	Fibrinopeptide A*	NA	16133137
CPD00559	Fibrinopeptide A, des-ala(1)*	NA	NA
CPD00560	Fibrinopeptide A, phosphono-ser(3)*	NA	NA
CPD00561	Fibrinopeptide B (1-11)**	NA	NA
CPD00562	Fibrinopeptide B (1-13)**	NA	NA
CPD00903	HCER(14:0)	NA	NA
CPD00904	HCER(16:0)	NA	NA
CPD00905	HCER(18:0)	NA	NA
CPD00906	HCER(18:1)	NA	NA
CPD00907	HCER(20:0)	NA	NA
CPD00908	HCER(20:1)	NA	NA
CPD00909	HCER(22:0)	NA	NA
CPD00910	HCER(22:1)	NA	NA
CPD00911	HCER(24:0)	NA	NA
CPD00912	HCER(24:1)	NA	NA
CPD00913	HCER(26:0)	NA	NA
CPD00914	HCER(26:1)	NA	NA
CPD00915	LCER(14:0)	NA	NA
CPD00916	LCER(16:0)	NA	NA
CPD00917	LCER(18:0)	NA	NA
CPD00918	LCER(18:1)	NA	NA
CPD00919	LCER(20:0)	NA	NA
CPD00920	LCER(20:1)	NA	NA
CPD00921	LCER(22:0)	NA	NA
CPD00922	LCER(22:1)	NA	NA
CPD00923	LCER(24:0)	NA	NA
CPD00924	LCER(24:1)	NA	NA
CPD00925	LCER(26:0)	NA	NA
CPD00926	LCER(26:1)	NA	NA
CPD00927	LPC(14:0)	NA	NA
CPD00928	LPC(15:0)	NA	NA
CPD00929	LPC(16:0)	NA	NA
CPD00930	LPC(16:1)	NA	NA
CPD00931	LPC(17:0)	NA	NA
CPD00932	LPC(18:0)	NA	NA
CPD00933	LPC(18:1)	NA	NA
CPD00934	LPC(18:2)	NA	NA
CPD00935	LPC(18:3)	NA	NA
CPD00936	LPC(20:0)	NA	NA
CPD00937	LPC(20:1)	NA	NA
CPD00938	LPC(20:2)	NA	NA
CPD00939	LPC(20:3)	NA	NA
CPD00940	LPC(20:4)	NA	NA
CPD00941	LPC(20:5)	NA	NA
CPD00942	LPC(22:4)	NA	NA
CPD00943	LPC(22:5)	NA	NA
CPD00944	LPC(22:6)	NA	NA
CPD00945	LPE(14:0)	NA	NA
CPD00946	LPE(15:0)	NA	NA
CPD00947	LPE(16:0)	NA	NA
CPD00948	LPE(16:1)	NA	NA
CPD00949	LPE(17:0)	NA	NA
CPD00950	LPE(18:0)	NA	NA
CPD00951	LPE(18:1)	NA	NA
CPD00952	LPE(18:2)	NA	NA
CPD00953	LPE(18:3)	NA	NA
CPD00954	LPE(20:1)	NA	NA
CPD00955	LPE(20:2)	NA	NA
CPD00956	LPE(20:3)	NA	NA
CPD00957	LPE(20:4)	NA	NA
CPD00958	LPE(20:5)	NA	NA
CPD00959	LPE(22:4)	NA	NA
CPD00960	LPE(22:5)	NA	NA
CPD00961	LPE(22:6)	NA	NA
CPD00962	MAG(12:0)	NA	NA
CPD00963	MAG(14:0)	NA	NA
CPD00964	MAG(14:1)	NA	NA
CPD00965	MAG(15:0)	NA	NA
CPD00966	MAG(16:0)	NA	NA
CPD00967	MAG(16:1)	NA	NA
CPD00968	MAG(17:0)	NA	NA
CPD00969	MAG(18:0)	NA	NA
CPD00970	MAG(18:1)	NA	NA
CPD00971	MAG(18:2)	NA	NA
CPD00972	MAG(18:3)	NA	NA
CPD00973	MAG(18:4)	NA	NA
CPD00974	MAG(20:0)	NA	NA
CPD00975	MAG(20:1)	NA	NA
CPD00976	MAG(20:2)	NA	NA
CPD00977	MAG(20:3)	NA	NA
CPD00978	MAG(20:4)	NA	NA
