BIOCHEMICAL	KEGG	PUBCHEM	compound_id
(12 or 13)-methylmyristate (a15:0 or i15:0)			C000001
(14 or 15)-methylpalmitate (a17:0 or i17:0)			C000002
(15:0)-anacardic acid			C000003
(15:2)-anacardic acid			C000004
(15:3)-anacardic acid			C000005
(16 or 17)-methylstearate (a19:0 or i19:0)			C000006
(3'-5')-adenylyladenosine*			C000007
(3'-5')-adenylylcytidine			C000008
(3'-5')-adenylylguanosine*			C000009
(3'-5')-adenylyluridine			C000010
(3'-5')-cytidylylguanosine			C000011
(3'-5')-cytidylyluridine*			C000012
(3'-5')-guanylyladenosine*			C000013
(3'-5')-guanylylcytidine			C000014
(3'-5')-guanylyluridine			C000015
(3'-5')-uridylylguanosine			C000016
(3'-5')-uridylyluridine			C000017
(N(1) + N(8))-acetylspermidine			C000018
(R)-salsolinol			C000019
(S)-3-hydroxybutyrylcarnitine			C000020
(S)-a-amino-omega-caprolactam			C000021
1,1-kestotetraose			C000022
1,2,3-benzenetriol sulfate (1)			C000023
1,2,3-benzenetriol sulfate (2)			C000024
1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)			C000025
1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*			C000026
1,2-dilinoleoyl-GPC (18:2/18:2)			C000027
1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*			C000028
1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*			C000029
1,2-dipalmitoyl-GPC (16:0/16:0)			C000030
1,3,7-trimethylurate			C000031
1,3-dimethylurate			C000032
1,3-propanediol			C000033
1,4-butanediol			C000034
1,5-anhydroglucitol (1,5-AG)			C000035
1,6-anhydroglucose			C000036
1,7-dimethylurate			C000037
1-(1-enyl-oleoyl)-GPE (P-18:1)*			C000038
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*			C000039
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*			C000040
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*			C000041
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*			C000042
